"","logFC","AveExpr","t","P.Value","adj.P.Val"
"RP11-56G10.2",7.75662445285294,5.59037821756319,34.8701593937226,6.42012001417777e-61,2.80893090860306e-56
"RP11-263K19.6",-6.84488013463153,2.13165079847983,-28.3285129070967,3.97691489076656e-52,8.69989901504094e-48
"CTD-2369P2.12",-8.39967855124785,2.73388436823318,-24.2937679910674,6.88296717968398e-46,1.00381193348511e-41
"AL589842.1",9.53994076268318,7.43978366514047,15.985826573385,1.53777081584514e-30,1.68201371837141e-26
"RLIMP2",-7.48825880330144,2.819114611352,-15.8974300321724,2.34515160069507e-30,2.05210145667222e-26
"RP11-463O12.3",-6.59226272660881,2.2782993645726,-15.5641074323675,1.16148006184027e-29,8.46951261093927e-26
"RPPH1",5.97054804066482,13.0684519736572,14.6207696337231,1.15554337636521e-27,7.22247625753297e-24
"RNU2-61P",-5.45678429569318,2.38742202004877,-13.4179304357764,4.71177269504485e-25,2.57686848692003e-21
"RP11-90P5.2",-5.77722839654151,1.8618838762717,-12.9033674442274,6.44698893391484e-24,3.13409622040713e-20
"RNU2-59P",-5.80068660551782,3.36772204518834,-12.397457680722,8.63708021908378e-23,3.77889533745354e-19
"RP11-343C2.11",7.07808647764862,6.98719909478442,12.1426632760394,3.21599438298249e-22,1.279147147675e-18
"RP11-770J1.5",-5.92210733865014,5.2701789910471,-11.9550489701572,8.49213827744575e-22,3.09623361595672e-18
"P4HA2-AS1",-5.67843804074523,2.18146038171472,-11.8569123151659,1.41255780751696e-21,4.75401763034476e-18
"RNU2-36P",-5.35368523517142,2.40875345673002,-11.7944507338947,1.95343415225075e-21,5.69777673528498e-18
"RP11-298P3.4",-5.89069245556084,2.66397002321938,-11.7982863902239,1.91491687375353e-21,5.69777673528498e-18
"AC006547.8",-5.85607470415358,2.21673819331046,-11.662619685907,3.87518012737654e-21,1.05966800583111e-17
"XXbac-BPG246D15.9",7.18853274018912,5.77933058780861,11.6205644529419,4.82266625603735e-21,1.2411840825538e-17
"RP1-56K13.3",-6.84407421932689,2.22001631567091,-11.3968335132344,1.54651272219303e-20,3.75905692341053e-17
"RN7SKP9",-4.1747650897863,7.62347628190375,-11.0176916418643,1.1201420633411e-19,2.57939239764737e-16
"RNU6-43P",-4.149908461943,1.27187964565892,-10.9205321906448,1.86218967967303e-19,4.07372614325271e-16
"HNRNPUL2-BSCL2",6.97651218788885,9.96027107957263,10.6225872578431,8.8653816119942e-19,1.84703893470462e-15
"CTD-2363C16.1",-5.17831309406925,3.68192649089381,-10.5053222709568,1.63924032942291e-18,3.26000194967779e-15
"RN7SKP227",-5.00169739409781,4.28745981969222,-10.0346526722165,1.93458969004435e-17,3.68009426603568e-14
"RP11-16C1.3",-5.36462004550902,2.57910485324426,-9.83906197234139,5.39418965000526e-17,9.83360773195959e-14
"RP11-277I20.2",-4.6192558783297,3.94378527256101,-9.56160187157462,2.30720935692523e-16,4.0378009513677e-13
"LUC7L2",6.22447684665295,7.89765570845582,9.55237248734786,2.42139120457027e-16,4.07464261470609e-13
"RNA5SP141",-4.9230438987212,2.53415433840774,-9.20473164131047,1.4897488974115e-15,2.4140553244277e-12
"SNORD17",4.23048169393804,14.9264303407248,9.03509481702133,3.60696130023906e-15,5.63613467171641e-12
"CTD-2363C16.2",-4.94049943569894,3.61565100371586,-8.87161432152207,8.44189581584791e-15,1.2736200887413e-11
"RP11-463D19.2",5.54186951181634,5.24133725064343,8.8263712141706,1.06779573039672e-14,1.45994371238491e-11
"RP11-229E13.4",-4.34439959106077,1.35769666522348,-8.83807569132805,1.00483544042875e-14,1.45994371238491e-11
"RNU4-6P",-3.85574203086362,1.7074563564304,-8.8265771361959,1.06665475532323e-14,1.45994371238491e-11
"RNU1-83P",-4.73161980269409,2.81731915048671,-8.79365834409951,1.2654030166844e-14,1.67769432684775e-11
"RNU6-16P",-4.14358592400408,1.69946830459711,-8.75865141729159,1.5173915717067e-14,1.95261517780328e-11
"RN7SL38P",-3.97937009781058,2.11028144915168,-8.74502026846057,1.62852944074786e-14,2.03575485976001e-11
"HOTAIRM1_2",-3.93376045057662,1.55864248946823,-8.73413615884613,1.72306660040476e-14,2.09410027502525e-11
"AC133106.2",-4.91357209952849,3.10720466092328,-8.64948269035995,2.67146029361556e-14,3.15896569638562e-11
"MYH4",-4.98586822403403,3.10362639024139,-8.62352002436222,3.05562277072782e-14,3.51814756486536e-11
"U2",-5.02815798931305,4.60941551537318,-8.46847130535928,6.80718388710369e-14,7.63661306227078e-11
"RP11-731I19.1",4.2216566178619,3.15274291800791,8.3097084511928,1.54171572549144e-13,1.68632866054254e-10
"RN7SKP186",-4.30543411137782,2.13982015580945,-8.26896576345517,1.9006846856319e-13,2.02826235038456e-10
"HIST2H2BD",5.17737931850153,5.36665207782353,8.22087585177371,2.43273527318502e-13,2.53421508743788e-10
"RNU6-98P",-3.82844499791332,1.44102432814189,-8.18263179167199,2.95967526872962e-13,3.01143517110368e-10
"RNU1-11P",-3.93201388499795,7.58094477125079,-8.13533717031339,3.77076746224698e-13,3.74951404564158e-10
"RP11-80H5.5",4.62285484523444,3.48316934549697,8.0970673103109,4.58615767998126e-13,4.45896824032312e-10
"RP11-323N12.5",6.27099965417265,5.16694303931637,8.01946382412174,6.81681149446766e-13,6.48367688056411e-10
"RP11-887P2.3",4.6924272334678,7.1589264985661,7.80959933636692,1.9822342405849e-12,1.8452492020015e-09
"RP11-165F24.3",-3.70046266619704,6.53654544430007,-7.78289984822232,2.26943624215821e-12,2.06859113472721e-09
"RNaseP_nuc",3.6030172493688,19.1449818398927,7.75390823143864,2.62826014590843e-12,2.34676812048542e-09
"RNU6-29P",-3.70141035152309,1.28435376297098,-7.74239529032632,2.78591366073693e-12,2.43778588969124e-09
"RP11-254F19.2",-4.28347219278672,2.46356606110474,-7.6673179306087,4.07107294225572e-12,3.4925016346975e-09
"RP11-523O18.7",-3.93543483877054,2.00552026460643,-7.6547526375336,4.3375009561638e-12,3.64950657373228e-09
"RP11-553K8.5",-4.27633334046249,3.12070470227433,-7.63670345455369,4.75077562388694e-12,3.92181009615663e-09
"RP11-73M7.6",-4.25612084056811,4.89805968133493,-7.5970839034614,5.8001234957479e-12,4.69938894788819e-09
"RP11-12A16.3",-3.38670937062601,4.71436852031533,-7.5832196201916,6.21925240905225e-12,4.9473587527428e-09
"RP11-63M22.2",-6.01376440930782,2.46230167026786,-7.52453082592423,8.35286950597864e-12,6.52597761831389e-09
"RP11-798M19.3",-5.16057132979371,2.46231512395828,-7.50720005713213,9.11191556385166e-12,6.99411455701119e-09
"CTD-2024I7.18",-4.0292120832972,2.91404055928397,-7.48643635206154,1.01119208054359e-11,7.62787515654195e-09
"AE000658.22",-4.28885342810947,1.68504331310247,-7.44070775222398,1.27146847978086e-11,9.42869303853769e-09
"RNU1-19P",-4.29858208850648,3.88371839855666,-7.43542723315167,1.30551185048502e-11,9.51979241373675e-09
"RP1-53O8.2",-4.4096151937882,4.05555653780445,-7.42219876224699,1.39481792799112e-11,1.00042744238471e-08
"CACNA1C-AS4",-4.27043950114814,3.85025690239798,-7.41124102162576,1.47336423030576e-11,1.02321637784663e-08
"RP11-876N24.2",-4.14588165299537,3.78765940394671,-7.41325868938668,1.45857888284641e-11,1.02321637784663e-08
"RP11-43D4.2",-3.85451341563017,4.37180055099119,-7.38449936804117,1.68395719733037e-11,1.13366967916692e-08
"ZDHHC4P1",-4.27733135416533,5.95328844616447,-7.38446665958681,1.6842322441454e-11,1.13366967916692e-08
"MYH13",-4.44053934904405,3.31717305656818,-7.2881041150844,2.72242946868492e-11,1.80472324415004e-08
"MRPL42P6",-4.16677907675911,1.89019468126502,-7.2678926541165,3.01018946954084e-11,1.96569865181121e-08
"ANKRD44-IT1",-3.82695842859398,5.32049169979579,-7.23282579013401,3.58273882837644e-11,2.30517631204597e-08
"RP11-539E19.2",-4.1724876568055,3.40149722714641,-7.22412114590732,3.74083819661329e-11,2.37201670693079e-08
"RNU1-13P",-4.82283485294469,6.91685627543255,-7.20652397539953,4.08187361537922e-11,2.55128763457245e-08
"RP11-977G19.10",5.2694092407098,4.70751468736253,7.2018478070443,4.17756754097351e-11,2.57432302891089e-08
"AC022173.2",-4.20350540429625,3.86375118849576,-7.19095735006041,4.40913715714646e-11,2.67928567915933e-08
"RP1-309I22.2",-3.99866894522674,11.6290369493124,-7.18001301108783,4.6546636391662e-11,2.78973758275068e-08
"RAB4B-EGLN2",4.54565641699664,3.83963519506342,7.16587726262379,4.99193427245464e-11,2.95144740930318e-08
"MTND4P32",-3.56917258807113,5.61573267394626,-7.16221301087695,5.08324379640147e-11,2.96536110106876e-08
"AC067945.3",-4.16480348643324,5.61264751284599,-7.15370643341734,5.30164963137144e-11,3.0520759825232e-08
"AC007919.18",-4.55637803450256,3.59925797671812,-7.13652244109825,5.77160691848173e-11,3.27947202464172e-08
"RP11-107E5.3",-3.92443235047315,8.77427305204983,-7.1292056904726,5.98402712276805e-11,3.3565789060942e-08
"RP11-139H15.6",-3.40289008741691,5.36271182276094,-7.12560356790765,6.09143138049812e-11,3.37357349062726e-08
"HSPE1P26",-3.87272963662029,3.98176726950719,-7.09389327214149,7.12321929225472e-11,3.89568863093411e-08
"AC124914.3",-3.59342452583244,6.32954524334423,-7.06715817450793,8.12631509861979e-11,4.38941405178781e-08
"HSPE1P18",-4.15124279939065,2.84151431205477,-7.03167614553767,9.67653436158904e-11,5.16302111449078e-08
"AC096558.1",-4.21113723159593,3.51107457246151,-6.98888583230489,1.19396917232174e-10,6.29379990691815e-08
"ZBTB20-AS2",-4.20592211424216,2.13304063442654,-6.97097927233137,1.30356354694963e-10,6.78970384596906e-08
"RP11-544M22.13",5.59482887607789,7.67072520530349,6.91564767323135,1.70910813056288e-10,8.79728222686909e-08
"RP11-463J10.2",-4.1111622599747,2.86071076626268,-6.89724938523651,1.86987598070195e-10,9.51288533810135e-08
"RP11-154B12.3",-3.83405797849015,4.57329441586123,-6.89481904436768,1.89220217376379e-10,9.51581948350726e-08
"AC093110.3",-3.87655092667509,5.81040469557897,-6.86198145377823,2.22102260379029e-10,1.10425205637537e-07
"CDRT4",-4.18116954997125,7.07515830188669,-6.84921597023651,2.36359057470498e-10,1.16193050364598e-07
"RP11-1149O23.4",-4.67600263031806,2.61814324381061,-6.83059072779913,2.58798647299431e-10,1.2581064907383e-07
"CTB-4E7.1",-4.24706932730018,2.88623846359203,-6.80121196941229,2.98548960915758e-10,1.43539715802047e-07
"CERS6-AS1",-5.03119488644946,4.17521348430508,-6.77840671562762,3.33516916362533e-10,1.56903571233264e-07
"BACH1-IT3",-3.73336737081,3.11182141994269,-6.77923290895136,3.32182104797149e-10,1.56903571233264e-07
"AC010132.11",-4.46892839208762,4.05147831972246,-6.73654594995295,4.08563423163733e-10,1.90164541385741e-07
"RP5-1180E21.5",-5.0980009152929,2.18338166056574,-6.71321463828571,4.5740217448869e-10,2.10655367770833e-07
"EP300-AS1",-3.50317300240151,4.95927816000989,-6.69546257247871,4.98388346498221e-10,2.27140488916564e-07
"AC021224.1",4.28313740167882,5.98725490086435,6.68808261719579,5.1647690846161e-10,2.32957708237241e-07
"RP11-43D4.3",-3.94054596778645,6.15493047179366,-6.68541886478604,5.2316399677181e-10,2.33566032517961e-07
"CTA-276F8.2",-3.75104944633626,2.71326909675054,-6.6561228585688,6.02598262169967e-10,2.66311910772327e-07
"RP11-712P20.2",-3.22401127087471,7.41777559330069,-6.6342131352889,6.69689054660199e-10,2.9300235519493e-07
"RP11-380M21.3",-3.7203686838078,4.66688199485013,-6.60901021575443,7.56028459730013e-10,3.27502546238688e-07
"LPP-AS1",-3.65025764799642,4.61399229449516,-6.60438364948164,7.7303230939654e-10,3.30119776194455e-07
"RP11-612J15.1",-3.64800413497354,1.93878197120322,-6.60327551723103,7.77160745749424e-10,3.30119776194455e-07
"RP1-29C18.8",-4.14473067206765,6.00235219473889,-6.59471287648527,8.09804552872231e-10,3.40678546127556e-07
"C5orf58",-3.80460068424106,5.83223951665948,-6.58236690937448,8.59269212637283e-10,3.56583113273254e-07
"RP1-68D18.2",-4.08488992700092,5.30748317352402,-6.58124475093272,8.63910449967201e-10,3.56583113273254e-07
"RP11-115H15.2",-3.88529380039588,6.23149510615545,-6.56605135469352,9.29241738701389e-10,3.79964341604329e-07
"IKBKGP1",4.96712700299089,3.80968582081821,6.56020832721988,9.55645543626605e-10,3.87142628006956e-07
"AC005363.9",-4.17408742863727,1.85102788886475,-6.5559430744533,9.75386150553689e-10,3.90434748886336e-07
