Origin	Destination	Weight1	Weight2	Weight3
RP11-704C2.1	RP13-631K18.2	0.5754023	0.71722096	0.7991333
RP11-704C2.1	CTD-3145H4.1	0.61554	0.71794873	0.76234025
RP11-704C2.1	OR4A21P	0.5474222	0.72168785	0.7894809
RP11-704C2.1	SLC10A2	0.5717187	0.71613574	0.8038594
RP11-704C2.1	LINC01192	0.6648399	0.7698235	0.8538334
RP11-704C2.1	AC003984.1	0.5810792	0.7827735	0.8716199
RP11-704C2.1	PABPC1P12	0.51987946	0.70119584	0.7643455
RP11-704C2.1	HNF4GP1	0.6130489	0.72324055	0.7965927
RP11-704C2.1	FLJ26245	0.59255385	0.71476	0.79473186
RP11-704C2.1	SPATA31D2P	0.57737184	0.7157655	0.8047074
RP11-704C2.1	OR4G1P	0.5943298	0.7169282	0.8002685
RP11-704C2.1	ACTR3BP5	0.6617819	0.75961536	0.79428715
RP11-704C2.1	OPCML-IT1	0.5282429	0.724359	0.77812576
RP11-704C2.1	RP4-668E10.4	0.534044	0.7289307	0.7953599
RP11-704C2.1	RP11-698E18.1	0.5247584	0.73690176	0.8029599
RP11-704C2.1	RP11-491F9.5	0.5857112	0.70408505	0.7776481
RP11-704C2.1	LINC00558	0.5713244	0.7340177	0.8154133
RP11-704C2.1	RP6-22P16.1	0.5650463	0.7021939	0.7861624
RP11-704C2.1	VN2R3P	0.63591725	0.72846895	0.7932543
RP11-704C2.1	AC023128.2	0.67566526	0.7924767	0.8698335
RP11-704C2.1	RP11-363G10.2	0.52284807	0.7021939	0.79036516
RP11-704C2.1	RP5-1077H22.2	0.6513641	0.7055113	0.7915865
RP11-704C2.1	RP11-470L19.2	0.609392	0.75160295	0.8052543
RP11-704C2.1	ADAM7	0.55569667	0.70716345	0.7815272
RP11-704C2.1	RP11-535I24.2	0.6570653	0.7678208	0.8244851
RP11-704C2.1	LINC01320	0.4965185	0.70955044	0.8085938
RP11-704C2.1	MTND5P13	0.6208447	0.73058397	0.792518
RP11-704C2.1	RP11-747D18.1	0.5045961	0.7334873	0.801371
RP11-704C2.1	RP11-362I1.2	0.62021613	0.7647234	0.8235199
RP11-704C2.1	AC013733.4	0.6610402	0.7362985	0.79727215
RP11-704C2.1	TAAR2	0.613986	0.72324055	0.7854951
RP11-704C2.1	LINC01440	0.54956985	0.73097235	0.80554205
RP11-704C2.1	RP11-71N10.1	0.6139254	0.73097235	0.83542883
RP11-704C2.1	AC020956.3	0.59626865	0.7340177	0.8146974
RP11-704C2.1	CTD-2342I9.1	0.5501634	0.70851755	0.79030573
RP11-704C2.1	RP11-521O16.2	0.57768095	0.70166814	0.7767624
RP11-704C2.1	TOPAZ1	0.5086378	0.7289307	0.80903846
RP11-704C2.1	AP000469.2	0.5499224	0.71018106	0.778132
RP11-704C2.1	SPATA31A6	0.57397777	0.75221467	0.8252228
RP11-704C2.1	RP11-56L13.1	0.6140871	0.71018106	0.8091025
RP11-704C2.1	GOLGA6L22	0.56938547	0.72307587	0.7960674
RP11-704C2.1	SSX6	0.5779333	0.7988628	0.86765814
RP11-704C2.1	OR8U1	0.6400974	0.8331448	0.90459156
RP11-704C2.1	AC012494.1	0.5675163	0.716277	0.82374084
RP11-704C2.1	RP11-19P22.5	0.5953559	0.77884614	0.8298672
RP11-704C2.1	TRIM60P13	0.60240084	0.7362985	0.7806249
RP11-704C2.1	RP11-19D2.2	0.6443288	0.770942	0.8380093
RP11-704C2.1	HSPD1P3	0.63241524	0.7272449	0.79842025
RP11-704C2.1	PASD1	0.544872	0.71370524	0.81301373
RP11-704C2.1	KRT17P4	0.503612	0.75285286	0.8302736
RP11-704C2.1	RP11-301G19.2	0.5996357	0.71615	0.7638412
RP11-704C2.1	CTD-2561F5.1	0.5341701	0.71722096	0.7967749
RP11-704C2.1	RP11-568G20.2	0.56246394	0.71476	0.780224
RP11-704C2.1	RP11-488I20.9	0.6369235	0.7650448	0.85023504
RP11-704C2.1	KIF2B	0.56762135	0.7190987	0.7815272
RP11-704C2.1	LCE1B	0.6106473	0.70417964	0.8170837
RP11-704C2.1	GPR50	0.52284425	0.7022751	0.7721095
RP11-704C2.1	LINC01222	0.5169096	0.71370524	0.8067095
RP11-704C2.1	RP4-640H8.2	0.6765943	0.8047824	0.8807723
RP11-704C2.1	RP11-707M1.1	0.56920284	0.7340177	0.83665174
RP11-704C2.1	DMBT1P1	0.5789263	0.7272449	0.8062889
RP11-704C2.1	RP11-411B10.6	0.50820947	0.7459722	0.8185836
RP11-704C2.1	RP13-786C16.1	0.627787	0.73998535	0.84190166
RP11-704C2.1	LINC00703	0.5310243	0.71946096	0.80087227
RP11-704C2.1	LINC01551	0.6106473	0.70417964	0.7836749
RP11-704C2.1	RP5-1004I9.1	0.6454411	0.78520703	0.83954626
RP11-704C2.1	RP1-131F15.3	0.53280747	0.724359	0.7959158
RP11-704C2.1	RP11-244B22.6	0.52782637	0.73972976	0.824731
RP11-704C2.1	FLJ22763	0.53581786	0.7280501	0.80467474
RP11-704C2.1	CCT6P4	0.49905717	0.70417964	0.78391355
RP11-704C2.1	TRIM43	0.58963394	0.7272449	0.78956807
RP11-704C2.1	LINC01111	0.5843811	0.7113661	0.8005483
RP11-704C2.1	PABPC1P6	0.5505619	0.7272449	0.796699
RP11-704C2.1	SSX2B	0.6066559	0.7586935	0.80579567
RP11-704C2.1	ASH2LP1	0.5447256	0.7307692	0.79015285
RP11-704C2.1	RP11-114H20.1	0.52284807	0.7021939	0.79036516
LINC01109	REXO1L1P	0.56116045	0.7378403	0.8947473
LINC01109	RP13-977E11.1	0.5526547	0.7079496	0.8158156
LINC01109	OR4A21P	0.592547	0.7111322	0.8076482
LINC01109	AC005307.3	0.55730116	0.7123247	0.8199509
LINC01109	RP5-828K20.1	0.5759834	0.71155477	0.8216114
LINC01109	SLC4A1APP2	0.66835225	0.736728	0.8417331
LINC01109	RP11-118H4.1	0.608519	0.71370524	0.831693
LINC01109	AVPR1B	0.55156046	0.7100463	0.8063068
LINC01109	RP11-25D10.2	0.6586266	0.72024405	0.8116124
LINC01109	RP11-809F4.3	0.5910682	0.708818	0.8337868
LINC01109	OR5T3	0.62530375	0.7162373	0.8061274
LINC01109	RP11-342F21.1	0.62694603	0.7581577	0.86556995
LINC01109	RP11-56L13.1	0.60009634	0.7033445	0.79568243
LINC01109	LINC01299	0.69069874	0.765689	0.85228646
LINC01109	RP11-24P4.1	0.6003151	0.7426641	0.84369195
LINC01109	AC105342.1	0.5803824	0.70461035	0.798322
LINC01109	LL09NC01-254D11.1	0.59262437	0.73408073	0.8467995
LINC01109	RP11-113I24.1	0.6015272	0.7387243	0.8561574
LINC01109	VN1R7P	0.58408546	0.7314541	0.82856876
LINC01109	CTC-339O9.1	0.6158906	0.74649525	0.85972875
LINC01109	OR4D10	0.58412343	0.7035042	0.799065
LINC01109	F9	0.56981856	0.7018107	0.7959963
LINC01109	RP11-16E18.1	0.62322676	0.70809275	0.7964174
LINC01109	RP11-271F18.3	0.57279724	0.7033445	0.8004173
LINC01109	RP5-998G20.1	0.61077344	0.71946096	0.82632273
LINC01109	MAPK6PS4	0.5862256	0.7019502	0.8084022
FAM163A	GPA33	0.54558986	0.703056	0.8573808
CTD-2118P12.1	RP11-64I5.1	0.5647751	0.74139947	0.8327637
CTD-2118P12.1	OR4A21P	0.6146779	0.709139	0.7687086
CTD-2118P12.1	OR4G1P	0.64870083	0.77723485	0.88162905
CTD-2118P12.1	CTC-525D6.1	0.6160489	0.7561092	0.81340706
CTD-2118P12.1	OR6C74	0.6332259	0.70988417	0.8018821
CTD-2118P12.1	RP11-411B10.6	0.56758344	0.71380794	0.80679554
CTD-2118P12.1	LINC01322	0.63600075	0.7032806	0.80982155
CTD-2118P12.1	TRIM43	0.71917266	0.81669915	0.89576924
CTD-2118P12.1	TARS2P1	0.5530954	0.71088433	0.7973822
TMEM74	RP11-440G9.1	0.5322713	0.7122683	0.8681297
TMEM74	LINC01204	0.60107875	0.76805985	0.9144595
TOPORSLP	RP11-639F1.3	0.5499388	0.703056	0.85819346
HAUS6P3	AC003984.1	0.5555132	0.7044306	0.8441891
HAUS6P3	RP11-73G16.1	0.5799177	0.72307044	0.82856065
HAUS6P3	LINC00261	0.56460947	0.70725703	0.84306544
HAUS6P3	OR7E105P	0.5459164	0.7060754	0.8264427
HAUS6P3	LINC01222	0.53870004	0.7044306	0.8473844
RP11-331K15.1	LINC00836	0.6679932	0.7246377	0.80584115
RP11-331K15.1	EEF1A1P36	0.72883654	0.74798524	0.8001993
RP11-331K15.1	RP11-21L1.1	0.7203621	0.7539217	0.7890392
