gene	Primary_1	Primary_3	Primary_4	Primary_5	Primary_6	Primary_7	Primary_8	Primary_9	Primary_10	Primary_11	Primary_12	Primary_14	Primary_17	Primary_18	Primary_20	Primary_21	Primary_22	Primary_23	Primary_26	Primary_27	Primary_28	Primary_30	Primary_32	Primary_33	Primary_34	Primary_35	Primary_37	Primary_39	Primary_41	Primary_42	Primary_43
ANKRD36BP1	0	10.8990771466537	11.5918399593013	12.0460346828613	10.6843737418439	10.9878590557692	0	11.4136578953082	0	9.74135599506297	10.9750949339855	9.86299133955941	10.6533192854125	10.6664716643169	8.62992418669783	7.37141942584501	0	0	8.96219775413499	9.76823473698825	0	9.58815513615515	10.2750504881466	11.783996055205	9.38690265460183	0	9.844551947819	9.49723322936167	0	11.3316657107311	0
CLEC3A	5.06259332328538	7.82406276984569	2.55533598845618	3.46930784364231	5.21182291411523	1.68705763672302	7.00868173653792	2.25172556131795	8.10248201083876	2.02407652522584	0	2.17668186804505	1.74623272279612	2.27464131282766	0	13.4612094436435	11.7197526769095	13.3773615932602	4.33847927109635	6.29576575511654	3.00315956558502	16.371917096963	14.2333447094598	6.36553263365972	5.05187703144689	12.588426045931	7.06667540629263	0	4.37090170964525	6.0977103140816	0
OR2A20P	9.83013647113179	0	5.95183180382538	0	9.60922630140633	5.2942304399229	0	9.80450957310049	9.69210936117809	7.13857691570032	9.37470057332082	9.8958919347142	0	0	9.08421997717467	0	8.85849030933016	8.02925480752071	8.06873235280561	10.6377036428107	10.7644488033919	0	8.3544436100683	1.83221106742598e-05	0	9.17658745930895	10.6154313507009	9.58351352089629	9.63977994974654	0	10.0887067778013
RP11-1143G9.4	0	10.0184427607358	9.57665785147826	11.1714816333078	8.90449715495501	5.49500398388805	9.00099414259138	0	11.2859685492995	0	0	8.50765443592854	9.77580563856191	6.43318753025387	5.32820338848596	4.60922833496521	10.9415422741968	12.5998639398527	0	0	9.17675404695885	0	8.48598403618819	5.74426306224457	11.5657694984702	9.30799467166916	8.61125363671266	9.56064068605316	0	9.95347342562793	8.01431153048936
CH507-528H12.1	0	12.967345879022	10.0970348505884	8.87282325647987	0	6.67949069236693	10.5093823993299	2.6223303179603	10.1851774753177	3.93087144615259	9.7195413013001	0	3.85972843306553	4.59135241906465	2.03197872568031	4.43113857209805	11.1629372307728	11.2673099894481	0	5.1606033556931	6.64368825419343	0	0	7.44911836125816	5.35386812644403	8.99715572455191	0	4.14877289427332	6.32298259630489	14.1152137340759	6.24945868007481
SOX10	11.7151953492809	11.9941811956633	11.0243530846863	11.9327360273932	6.9456720766743	11.7203852806077	10.9706565994085	5.05397664699991	11.7794329591386	11.0467050347586	11.0379682644011	12.3263072556745	12.6957613630099	7.02271752208931	6.23280503385217	0	7.48346415205374	0	2.85560644010074	8.15066138258452	0	3.05096062697066	0	0	8.88298140480691	4.998418961385	6.123097602408	8.52435511636923	8.64006682542943	5.62630833819694	5.77378586242182
RP11-442H21.2	8.99848007585427	0	0	8.78829629514463	0	0	9.21881556939405	6.60850760879972	9.39458230300484	8.85214322646339	0	0	6.32410499099361	8.09888134391394	0	9.20269413972636	8.08195323518482	9.94392167867321	0	0	0	0	0	6.98349234276032	0	0	8.89901387089477	8.74125388460565	3.12734978986563	0	6.35811027287999
NSFP1	8.91022830465375	0	7.42957761595411	8.48759622066659	0	8.79909584484455	8.57503712806264	9.63978543898906	8.3404262070686	0	9.18724447952533	0	0	9.32243914963468	10.0996408371144	0	0	7.34656056082404	6.4903829358405	4.02887521506323	8.42872218594449	0	0	0	0	0	8.40082957237983	8.68430868913266	3.43523824437227	7.58803399139629	9.26666915230193
RP11-311C24.1	0	10.7098684450685	4.09085190647667	8.04598914001524	7.2173207480531	0	0	5.76972844479185	0	0	0	0	8.8235454865866	7.62424352776016	0	7.10714156481418	0	0	0	7.35630381246981	0	0	8.39804866833022	8.79817684812024	9.29509487082276	0	0	0	0	10.847965213409	0
RP11-373L24.1	8.20535013496003	7.64495199451453	0.0229070262802707	0	0	0	9.8522973745959	6.48036909980918	7.23215093781477	6.33289238777195	0	0	7.80810198795279	0	7.65098034347952	0	0	8.00703569927463	4.99087730664892	0.0270531386061613	9.08508714986445	0	0	10.7726917609056	0	8.30088125224906	0	0	4.23828570576792	10.5858150684378	7.43586657910312
MAGEA3	0	10.8962320702912	0	0	4.11086296894342	1.98794296379006	5.95226371419377	2.86491227158702	0	0	0	7.9986831428393	0	10.6936310159517	8.20531714353877	0	9.30148843687482	4.44419855811207	0	9.00962316296559	0	2.09354965100785	10.7521995096287	0	0	0	8.6807209017539	0	0	6.91687956704887	0
BIVM-ERCC5	8.72803791646138	10.7203138531755	0	7.90093741923314	7.72331105074006	10.0808149166343	0	10.2110006631258	0	8.9536345237742	9.22577907300466	9.27975705857996	0	7.56673979861999	9.69027550649831	8.42661704842936	0	0	8.11068964364749	7.18315766042148	0	0	7.97177630625994	9.15258628843601	8.37613408146047	4.62296913863673	9.27268323741189	9.18643296142455	8.53981841443674	9.16922106104979	0
MGC39584	10.3390295106533	12.3783388682785	11.097532903765	3.46930784364231	1.53502648949687	9.15870848356685	10.8055937216953	12.3856776772165	10.8244108808405	3.73001576482688	7.33557153062814	11.9699472850475	9.45683515968999	9.34800274214476	2.09898232510768	0	10.0326441737955	5.14953911705954	3.25504875089862	12.0410779662337	3.00315956558502	0	2.42709958392344	4.15138138309333	7.31448826140168	4.09121169079242	12.9524347567627	4.11566507709823	3.2386082169005	7.32651275473997	3.9645712499032
VGLL1	8.78919323670054	12.1764985236893	10.711329596403	11.3005861247312	10.4213402441093	9.51008894711367	7.37537887319812	0	7.9128904047817	10.1842714784187	8.14884435618171	10.7535110724077	10.1881367378459	8.53698910060014	5.94849128470737	2.29278743314068	4.81402743067909	4.30854947459644	6.36100648406952	6.97331138808679	0	0	4.37166342842559	0	0	0	3.5521555059516	5.81076833553117	1.93090346251507	6.53954134728981	0
RP11-468E2.1	0	10.0477356609976	8.54074544349074	7.52955460262595	7.41583809316741	7.45329929334659	0	4.8831751252441	7.21933623030599	7.80111783844977	8.43629260011863	0	0	9.00485993941715	8.41081097892515	7.70452488761845	0	8.12836949821701	9.21806122659702	8.24115459423586	0	0	0.0217286852437784	8.63418740437672	0	0	7.6400437917102	0	6.69955731800958	8.47399701515689	0
CTD-2207O23.3	0	6.35645397110964	7.03810904362691	8.03689937707776	8.7942785418911	10.8143253348711	8.60240377206735	0	0	9.61887409097862	0	0	6.82982600298888	0	4.65223625310657	0	7.81546701965441	0	0	0	7.91959847084698	0	2.01806623938832	7.2272427687344	0	0	0	8.7670028801157	0	0	0
FGB	5.06259439994489	7.57003833003184	0	3.46930784364231	0	1.68705763672302	2.6608014169031	4.16441188897618	2.83871985671088	0	2.75122057914079	1.46496231578308	4.31023183443217	3.11728716670991	9.70589875511335	0	7.63415687795146	15.7552189369468	0	14.8796312017707	3.00315956558502	5.20741227062495	3.28632588139929	3.94245699719582	0	4.34006930649686	3.26065179654427	0	3.23860563730292	7.57882066532585	0
RP11-78A19.3	0	10.0275149345243	9.5538430484341	8.83618467791905	7.86969942830706	7.99083532611945	0	0	8.26704250501714	7.55247159960058	9.23181682189176	8.41759934314315	8.72594778487087	9.22639891848824	7.92843387423094	0	5.28464986034392	9.05237566342338	8.3832335066068	8.67119063589982	0	7.88428007549994	0	7.89970846804257	0	8.22408271616015	8.99017024005741	0	0	10.2264712963132	7.09717768715427
LY75-CD302	7.98708190261628	0	0	0	5.58853912693857	10.1515705606274	0	5.89193316427085	0	8.16993740956818	9.82340016162112	11.4960619293874	5.77551204550312	6.27954745374322	9.22923256581949	4.43987549271032	0	0	4.7279204545632	6.28958722388909	0	0	5.69650380637986	0	0	0	7.58962246159503	7.31338197068234	0	0	0
HNRNPUL2-BSCL2	0	6.75178558685752	0	5.6556249570254	3.79060217658193	10.3156166220134	7.77261559246967	8.14589984386073	5.59455860568494	9.51388977832298	10.0553696210025	9.89648633776777	0	9.01711890102437	10.4595588499176	8.53917507817855	7.29058212550232	0	0	6.36314097772122	0	4.78802843002188	0	0	4.43432857160837	5.36765165303143	9.64543156959913	8.64056356488877	0	0	3.70781955912773
ADAM1A	9.1915902178884	0	0	0	0	8.28802241763794	8.39984181629006	7.91868843464245	5.45419701186203	7.5175414593029	0	7.53180637378381	0	0	8.24896292849974	2.46254560735627	8.09531654031914	0	0	0	0	0	9.46822845240987	0	3.41440034282797	0	0	7.02368057079651	8.06075343733839	0	7.96251014644117
RP11-334J6.7	0	0	10.5117560974566	10.5397566610422	7.23805725638783	4.65443209221352	3.39029351028972e-05	8.07586312428455	0	3.86753541402854	9.44283857431683	9.76120525695899	10.4505869473372	9.16571293677593	10.3220174050899	10.4781822158617	0	4.27739530233703	8.44695072656785	10.6025446554072	9.03993786111137	10.6345923709355	11.182342422277	11.0290811401747	9.55894381216268	10.9247159192127	9.78990948034223	9.42980149820926	5.8952369173429	10.0535594759692	11.1299252551935
RP11-557C9.1	0	7.47434559210176	3.05607450033	0	3.10295202694408	2.44360303863386	5.04190242283713	2.25172556131795	3.7341893304139	0	2.26960476216933	2.65115224119369	0	1.54566526705939	2.09898232510768	5.39060305995794	6.82521180553524	9.19050892939014	7.46118207985402	9.47196225004423	10.5227526986814	10.2331553298349	6.87061065592898	0	0	10.9068080515543	5.38455942065879	0	11.0299867989365	10.1881488889212	9.35508555288644
SLC2A3P1	10.1933150960937	0	9.84367436341335	10.1061285800195	9.14073644928148	10.1872576218384	10.0097892246789	9.64388605271199	10.7518538964594	9.37465620543006	10.4471316755601	9.51017150395665	9.57469544460799	8.10040567150136	9.2000221785382	10.9248337520318	0	8.96734829673893	10.1248614080883	0	8.24178913359898	8.45095295102174	9.71603288711052	10.6286328714492	0	0	9.46746101862635	9.35155343978752	9.35649041230527	0	9.29069026590473
RP11-49K24.9	0	5.37025878896879	1.44269496959656e-07	9.03031882403461	0	7.86556247224532	0	0	8.02188714960737	8.73838543918227	0	5.75687513430759	7.00733388986414	0	0	0	0	6.64475166471256	0	0	5.8645632517601	8.68857952919966	8.23863250473875	8.17975140328687	0	7.99812331524773	8.00879544633746	6.49602000725557	7.993504690769	0	7.76275859526198
ART3	9.99569675525092	11.7353560004748	5.32280681983454	12.673970171812	5.90294426548723	12.4251971948334	7.46505349208103	6.14173283077205	9.20137107880858	9.05847614497216	6.27497537716437	12.9013653936587	12.7740068857133	5.07165851327075	5.69774873422136	0	6.43070231550378	4.70526948004022	3.25504875089862	5.2098864222428	0	0	0	4.4957962442991	2.66946453230511	3.79029095020556	4.00200735010998	8.46865347441115	4.55480721988933	7.38063130041926	2.21814811131373
KLK6	5.06259439994489	10.773442905751	10.2308816405286	11.3758218078963	6.30040842936806	9.11875380757624	8.00306492498716	2.25172556131795	11.5234668820654	12.475296604114	10.355141487344	6.17009016213584	11.5125620473723	10.3030007926726	5.86965688086675	4.05311533602184	5.00024733832916	2.86231187572146	0	4.34983298912726	0	2.09354965100785	0	5.20695447702019	7.99826338575218	3.40959992005586	3.26065179654427	9.5754917220132	3.91309957461656	6.7182901787678	0
IMPDH1P10	0	0	0	7.6343850289347	0	8.73647511080247	10.1736256917539	5.42497311223495	7.92675576728474	9.39091318710797	5.77190910000878	0	8.78049759291801	0	0	0	0	8.42107971404281	0	0	0	0	0	0	0	0	0	6.89393291870367	0	0	6.06715457803871
FGG	5.06259332328538	8.78143708187358	2.55533658707928	3.46930751538878	0	2.44360303863386	6.42930683702047	0	4.0342726321624	2.02407652522584	1.54149256895407	2.65115224119369	1.74623272279612	2.75663045687807	9.78858109984949	0	5.9775311877214	15.9213131004499	0	13.9633740709266	3.52685873765525	4.36512111653261	1.6731292497569	4.15138138309333	0	4.90109133084069	4.34442764756893	3.19657482622099	3.91309957461656	7.53176367259898	0
