Gene1	Gene2	Weight
OR4F16	OR4F29	1.0
CXorf49	CXorf49B	1.0
CTD-3126B10.4	RP11-20I23.11	0.9270039
RP11-483I13.2	RP11-131J3.1	0.9070361
MKRN3-AS1	MKRN3	0.8706557
AP000350.6	AP000350.5	0.86331797
LINC01291	LINC01293	0.84905607
AMY1B	AMY1A	0.8426432
MTND5P6	RP11-1217F2.7	0.8408783
AC093642.3	AC093642.1	0.83893114
TMEM161BP1	VN1R53P	0.8379836
OR10C1	VGLL2	0.8280886
AC144450.1	AC144450.2	0.8259969
RP11-494M8.4	OR5P3	0.8208094
AC105921.5	ERBB4	0.82061607
RP13-631K18.2	RP11-143A12.3	0.8175804
RP11-494M8.4	OR5P2	0.8152828
IGHV3-21	IGHV3-11	0.81444
OR10K1	RP11-1081L13.3	0.8138171
TMEM161BP1	ANKRD30A	0.8134243
RP11-1217F2.3	RP11-1217F2.7	0.81060714
RP13-631K18.2	GMNC	0.8103576
LINC00517	TTC6	0.8092286
RP11-494M8.4	OR10AB1P	0.8080786
PAX5	FCRL3	0.80686194
IGHV3-21	IGHV1-18	0.8048046
LINC01192	CTD-2351A16.1	0.80296177
AP000619.6	RP11-438O11.1	0.8019547
OR52E7P	OR52E6	0.8016203
LINC01087	POTEKP	0.80154276
RP11-494M8.4	OR5P4P	0.7992778
RP11-346M5.1	CYP4Z2P	0.79883385
TMEM161BP1	LINC00993	0.7987521
POU2AF1	FCRL5	0.7957783
OR8B1P	OR8G5	0.79547566
ATXN8OS	RP3-449H6.2	0.79459494
RP11-319E16.2	RP11-1038A11.1	0.794555
XXyac-YR12DB5.1	OR14J1	0.7937388
OR4G1P	ATP5A1P6	0.7936761
POTEI	CYP4F30P	0.79271984
RP11-704C2.1	OR8U1	0.7926113
LEMD1-AS1	RANBP20P	0.7924711
OR4K7P	OR4K8P	0.79169965
RP13-631K18.2	SALL1P1	0.7909333
AC008060.7	POU3F4	0.79049295
ANKRD30B	RP11-527H14.4	0.7903046
LINC00558	CICP11	0.79009604
RP11-276H19.4	MRPL35P4	0.78935105
SOX14	DNAJA1P5	0.78878164
RP11-5A1.1	RP11-43P5.3	0.7882858
AC093375.1	AC073551.1	0.787899
SNX18P3	FAM95C	0.7874358
FAR2P1	POTEF	0.7873865
RP11-704C2.1	RP4-640H8.2	0.787383
RP11-294L13.1	RP13-130D24.1	0.78635997
LINC01152	AC005152.3	0.78564674
IGHV4-59	IGHV4-39	0.7852917
IGHV3-21	IGLC2	0.7851319
CTD-3145H4.1	LA16c-2F2.8	0.7848436
HTR2C	RP11-445O3.3	0.78470993
RP13-631K18.2	RP11-104C4.2	0.7846008
IGHV3-21	IGHV3-49	0.7845211
FAR2P4	POTEE	0.78419214
FCRL3	SIRPG-AS1	0.78375167
C5orf46	CTC-327F10.4	0.7837482
ZNF479	CT45A3	0.7833925
ZNF962P	ZNF679	0.7827118
IGHV3-21	IGLC3	0.7826249
OR8K3	RP11-314N14.1	0.7824237
IGHV3-21	IGLL5	0.78214055
RP11-54D18.4	ECM1P1	0.78194183
PMCHL2	RP11-136K7.3	0.7808953
IGHV3-21	POU2AF1	0.78000015
IGHA1	IGJ	0.7799978
RP11-704C2.1	AC023128.2	0.7793252
RP13-631K18.2	PRR23B	0.77897054
IGHV3-21	IGHV4-31	0.77847344
CH507-254M2.1	CH507-254M2.2	0.7784596
PTPRD-AS2	RP11-946L20.1	0.77712244
MYT1L-AS1	FAM71B	0.77709746
RP11-469H8.6	AQP5	0.7768348
LINC01104	LINC00550	0.77644086
RPL6P7	PLCH1	0.7763831
OR10C1	GALNTL5	0.77625257
OR8G2P	RP11-30H9.1	0.7747788
IGHV3-21	IGKV3-20	0.7746115
RP11-113D6.10	FNDC7	0.77410436
TNFRSF13B	TBC1D27	0.7740372
RP13-631K18.2	HSFY1P1	0.77381414
AC105921.5	MTND2P23	0.7737865
TMEM161BP1	ATP8A2P1	0.7734232
CTB-43I4.1	RP11-36D19.9	0.7729347
RP11-494M8.4	OR5P1P	0.7727032
IGHV4-59	IGLV2-11	0.7726836
GS1-309P15.2	LRRC74B	0.7715884
RP11-307A17.2	LINC00635	0.7714279
BLACAT1	SHC4	0.77127177
OR10D3	OR8F1P	0.7708311
OR8G2P	OR8B8	0.7706786
TMEM161BP1	RN7SL314P	0.7701967
LINC01109	LINC01299	0.76955813
IGHV3-7	IGHA1	0.7680966
TLR12P	RP3-428A13.2	0.7678407
CSAG1	MAGEA12	0.76767045
IGHV3-23	IGLC1	0.76654696
RP11-747D18.1	RP5-991O23.1	0.76631325
