interaction;name
CH507-513H4.6;CH507-513H4.4
CH507-513H4.3;CH507-513H4.4
MIR3648-2;MIR3648-1
SNORA11D;SNORA11E
CCDC144A;USP32P1
FAM83B;RP3-523K23.2
ZIC4;ZIC1
CTAG1B;CTAG1A
CTD-2620I22.3;ERVV-1
AC144450.1;AC144450.2
CECR7;AC006946.16
EMX2;EMX2OS
CTD-2554C21.2;CTD-2554C21.3
POTEKP;LINC01087
ANKRD18A;SNX18P3
S100A8;S100A9
PAX8-AS1;RP11-65I12.1
CTD-2231H16.1;PLEKHG4B
RP11-44F14.8;RP11-44F14.10
FAM95C;SNX18P3
CCDC144NL;RP11-344E13.4
TPO;AC144450.2
HAND2;HAND2-AS1
RP11-284F21.10;RP11-284F21.9
UGT1A1;UGT1A4
RP11-19E11.1;EN1
CYP4F11;AC005336.4
CYP4F30P;POTEI
AC006946.17;AC006946.16
RP11-25H12.1;RP11-19C24.1
SNORA7A;SNORA57
AP003900.6;EIF3S5P1
GRAMD4P8;LINC01087
HOXA3;HOXA-AS2
MAGED4;MAGED4B
VN1R53P;TMEM161BP1
C4B;C4A
RP11-1038A11.3;RP11-1038A11.1
AC093375.1;AC073551.1
RP11-67H24.3;RP11-586K12.2
WT1-AS;WT1
PEG3;ZIM2
RN7SL314P;TMEM161BP1
AMY1B;AMY1A
RP11-161M6.2;SOX8
RP4-753M9.1;PHF21B
CKMT1B;CKMT1A
LRRC14B;CTD-2083E4.7
LINC01296;AP000525.10
HBB;ALAS2
CYP4F35P;ANKRD20A5P
RP11-284J1.1;RP11-532F6.5
MGC39584;RP11-555K2.2
SNORD94;SNORA57
LINC00993;TMEM161BP1
SNORA71A;SNORA71D
RP11-346M5.1;CYP4Z2P
SNORA8;SNORA18
ACKR2;RP11-141M3.6
OR13K1P;OR13H1
APCDD1L-AS1;APCDD1L
DEFA1B;DEFA1
TBX5;TBX5-AS1
SNORA71C;SNORA71D
FOXF1;FENDRR
LL22NC03-N14H11.1;AP000525.10
HBA2;ALAS2
KRT87P;KRT86
RP11-136K7.2;PMCHL2
MAGEA12;CSAG1
TPSAB1;TPSB2
ANKRD20A11P;SNX18P13
CRABP1;RP11-5O23.2
MAPT-AS1;MAPT-IT1
OR5E1P;RP11-494M8.4
RP11-3J1.1;RP11-608O21.1
ORM2;ORM1
RP11-483C6.1;NOVA1
SNORA40;SCARNA23
TOX;RP11-25K19.1
OLIG2;OLIG1
TBC1D27;TNFRSF13B
RGMA;RP11-368J22.2
AP000350.5;AP000350.6
RP11-375N15.1;RP11-115J16.1
SC22CB-109E1.1;RP3-323A16.1
KRT7;RP3-416H24.1
AFF3;AC092667.2
LINC01293;LINC01291
PCBP3-OT1;AJ011931.1
AQP5;RP11-469H8.6
HOXB5;HOXB-AS3
TNNI2;SYT8
HBA1;ALAS2
ANKRD20A3;FAM95B1
RP3-407E4.3;RP3-407E4.4
LL22NC03-N64E9.1;AP000525.10
IGF2BP2-AS1;IGF2BP2
RP11-146D12.2;FAM95B1
AC007128.1;RP4-594A5.1
ZNF676;ZNF208
SCGB1D2;SCGB2A2
SNX18P9;ANKRD20A4
AKR1C1;AKR1C2
RP11-757O6.6;ANKRD20A5P
ANKRD30A;TMEM161BP1
AC005477.1;RGS6
LMAN1L;RP11-414J4.2
RP4-753D4.2;RP1-269M15.3
RP1-101D8.1;AJ011931.1
LGSN;RP3-407E4.4
RP11-13K12.1;RP11-13K12.5
DUOX2;DUOXA2
HIST1H3F;HIST1H2BH
RP11-20F24.2;TMEM161BP1
SETP21;PART1
OSTM1-AS1;NEUROD1
SNORD10;SNORA57
DLX6-AS1;DLX6
FGA;UGT1A4
AC016582.2;CTD-2554C21.3
ANXA8L1;ANXA8
C1orf64;RP11-5P18.5
MKRN3-AS1;MKRN3
RP11-180N14.1;ZNF385D
RP11-268G12.1;RP11-268G12.3
OR14A2;OR1C1
FOXA1;SPDEF
RP11-319E16.1;RP11-1038A11.1
ZNF849P;ZNF492
MAGEA4;RP11-366F6.2
CTD-3006G17.2;LINC00645
OR13G1;OR1C1
AL592528.1;AJ011931.1
RNF212;AC092535.3
SIX1;SALRNA1
IGKV2-40;IGKV2D-40
KLK7;KLK6
MTND5P17;AC073869.8
RP11-771F20.1;RIMS2
CSN3;AC073869.8
MTRF1LP2;GSDMC
APOC4-APOC2;APOC2
AGR3;RAD17P1
RSU1P2;RP11-445N18.7
RP11-284F21.7;RP11-284F21.9
AC004019.10;CECR2
SNORA70;SNORA84
SNORA46;SNORA57
RP11-219A15.1;USP32P1
RP11-53O19.2;RP11-53O19.1
DPP10-AS1;DPP10
SALL4P7;SIX6
RP1;RP11-550I15.1
RP11-266O8.1;RP11-164C12.2
FAR2P4;KLF2P4
SNORA9;SNORA57
RP11-634B7.4;OR1C1
PRSS50;PRSS45
FOXA2;LINC00261
AL050303.10;OR4K12P
MTND1P7;MTND2P7
GNAS-AS1;RP4-806M20.3
RP11-54O7.3;SAMD11
RP11-319E16.2;RP11-1038A11.1
TFF3;TFF1
CTA-363E6.3;CTA-363E6.2
TP53TG3C;TP53TG3
CTC-327F10.4;C5orf46
SAA2;SAA4
TRHDE;TRHDE-AS1
RP11-433A19.2;LINC01087
CPN1;UGT1A4
HNRNPA1P38;AC073869.8
LINC01226;LINC01225
