interaction;name
OR4F16;OR4F29
RP11-20I23.11;CTD-3126B10.4
AP000350.5;AP000350.6
LINC01293;LINC01291
AC093642.3;AC093642.1
RP11-557C9.1;RP11-88E18.1
OR52E6;OR52E7P
OR14C36;RP11-466J24.1
RP11-494M8.4;OR5P4P
ATP8A2P1;RP11-20F24.2
RN7SL314P;RP11-20F24.2
AC093375.1;AC073551.1
FAR2P1;POTEF
OR8K3;RP11-314N14.1
CH507-254M2.1;CH507-254M2.2
OR5P2;OR5P4P
IGHA1;IGHV3-72
AMMECR1LP1;HS6ST3
IGHV3-11;IGHM
ZIC1;ZIC4
OR14A2;RP11-634B7.4
SNORA71A;SNORA71C
ANKRD30BP1;RP11-527H14.4
GOLGA2P1;ZNF705A
ABCF2P1;HSPD1P15
IGHV3-7;IGHV3-72
IGLV2-14;IGHM
LINC01019;POTEA
LINC00402;PAX5
KLF2P1;POTEF
FCRL2;PAX5
MS4A1;PAX5
LINC01226;LINC01225
FAM83A;FAM83A-AS1
RP11-35J10.6;OR5P4P
OR10AB1P;OR5P4P
ZFP57;MOG
IGHG3;IGHM
SERPINA10;PPP4R4
SNCA-AS1;RP11-165H23.1
OR52N3P;OR52N1
LINC00700;HSPD1P15
IGHG1;IGHM
IGHV3-33;IGHM
CNR2;PAX5
CTD-2331D11.4;CTD-2331D11.3
BLK;PAX5
ADIPOQ;CIDEC
IGKV4-1;IGHM
RP11-1038A11.1;RP11-319E16.1
OR5P1P;OR5P4P
S100A9;S100A8
ELAVL2;NOP56P2
RP11-131J3.1;NBPF4
KATNBL1P4;LRRC3C
GLDC;RP11-472F14.4
GRPR;CYP2B7P
RP11-513O17.3;HSPD1P15
IGHV3-21;IGHM
AC013733.4;HSP90AB7P
RP11-142A22.4;RP11-467L19.16
LINC00661;HSP90AB7P
RP11-136K7.3;RP11-136K7.2
IFNG;KIAA0125
C11orf44;RP4-781K5.4
NEUROG2;AC018890.4
IGHV1-46;IGHM
OR4C13;OR4A19P
RP5-1004I9.1;OR4A21P
IGKV1-12;IGHV5-51
SEPHS1P7;XXyac-YR12DB5.1
RP11-555K2.2;MGC39584
TTC6;CTD-2058B24.2
GABRG2;CH17-38B12.4
CTC-327F10.4;CTC-327F10.5
LRRTM1;PRKRIRP8
CLEC17A;PAX5
CLEC6A;CLEC4D
RP11-27M9.1;RP11-88E18.1
RIMS2;RP11-5A11.2
GRAMD4P7;OR4K7P
POTEC;OR4K7P
IGLV4-69;IGHM
PMCHL2;RP11-136K7.2
TMEM161BP1;RP11-20F24.2
IGHV3-53;IGHM
OR5P3;OR5P4P
OR52N4;OR52P1P
