"interaction","Kendall","name","NMI","selected","shared interaction","shared name","Spearman","Weight"
"MIR3648-2","1.0","MIR3648-1","1.0","false","MIR3648-2","MIR3648-1","1.0","1.0"
"CH507-513H4.6","1.0","CH507-513H4.4","1.0","false","CH507-513H4.6","CH507-513H4.4","1.0","1.0"
"CH507-513H4.3","1.0","CH507-513H4.4","1.0","false","CH507-513H4.3","CH507-513H4.4","1.0","1.0"
"SNORA11E","0.976887","SNORA11D","0.9836998","false","SNORA11E","SNORA11D","0.9867122","0.982433021068573"
"CDR1","0.8823212","CDR1-AS","0.69536257","false","CDR1","CDR1-AS","0.97777367","0.8518190979957581"
"CCDC144A","0.88324326","USP32P1","0.65155786","false","CCDC144A","USP32P1","0.9783499","0.8377170562744141"
"FAM83B","0.8700667","RP3-523K23.2","0.6273321","false","FAM83B","RP3-523K23.2","0.9734778","0.8236255645751953"
"ZIC4","0.8306135","ZIC1","0.6773363","false","ZIC4","ZIC1","0.95658875","0.8215128779411316"
"CTAG1B","0.8103162","CTAG1A","0.81456715","false","CTAG1B","CTAG1A","0.83355445","0.8194792866706848"
"ERVV-1","0.84618616","CTD-2620I22.3","0.649832","false","ERVV-1","CTD-2620I22.3","0.9612638","0.8190940022468567"
"XAGE1A","0.8338543","XAGE1B","0.71944445","false","XAGE1A","XAGE1B","0.901017","0.8181052207946777"
"AC144450.2","0.86399764","AC144450.1","0.6170543","false","AC144450.2","AC144450.1","0.9705669","0.8172063231468201"
"SAA2","0.83432496","SAA1","0.6492107","false","SAA2","SAA1","0.95743835","0.8136579990386963"
"EMX2","0.84264463","EMX2OS","0.6156084","false","EMX2","EMX2OS","0.96180546","0.8066861629486084"
"FGA","0.8240798","FGG","0.65919083","false","FGA","FGG","0.93486506","0.8060452342033386"
"CTD-2554C21.3","0.82582045","CTD-2554C21.2","0.6475293","false","CTD-2554C21.3","CTD-2554C21.2","0.9444148","0.8059215545654297"
"POTEKP","0.8419601","LINC01087","0.6149288","false","POTEKP","LINC01087","0.96058","0.805823028087616"
"ANKRD18A","0.84576577","SNX18P3","0.59667945","false","ANKRD18A","SNX18P3","0.9627311","0.801725447177887"
"S100A9","0.8154955","S100A8","0.61140025","false","S100A9","S100A8","0.9495306","0.7921420931816101"
"FGB","0.8112689","FGG","0.6407323","false","FGB","FGG","0.9230958","0.7916989922523499"
"RP11-65I12.1","0.8198198","PAX8-AS1","0.5969798","false","RP11-65I12.1","PAX8-AS1","0.95354193","0.7901138663291931"
"PLEKHG4B","0.82647955","CTD-2231H16.1","0.5825082","false","PLEKHG4B","CTD-2231H16.1","0.95928586","0.7894245982170105"
"RP11-44F14.8","0.8355225","RP11-44F14.10","0.56291795","false","RP11-44F14.8","RP11-44F14.10","0.9562168","0.7848857045173645"
"SULT2A1","0.80204797","F9","0.6549323","false","SULT2A1","F9","0.8965982","0.7845261693000793"
"FAM95C","0.83513755","SNX18P3","0.5566865","false","FAM95C","SNX18P3","0.95575786","0.7825272679328918"
