"interaction","Kendall","name","NMI","selected","shared interaction","shared name","Spearman","Weight"
"OR4F29","1.0","OR4F16","1.0","false","OR4F29","OR4F16","1.0","1.0"
"CXorf49B","1.0","CXorf49","1.0","false","CXorf49B","CXorf49","1.0","1.0"
"RP11-20I23.11","0.91689825","CTD-3126B10.4","0.950151","false","RP11-20I23.11","CTD-3126B10.4","0.91396266","0.9270039200782776"
"RP11-131J3.1","0.88817203","RP11-483I13.2","0.9744686","false","RP11-131J3.1","RP11-483I13.2","0.85846776","0.9070361256599426"
"MKRN3","0.8689185","MKRN3-AS1","0.77766323","false","MKRN3","MKRN3-AS1","0.9653854","0.8706557154655457"
"AP000350.5","0.81505376","AP000350.6","0.8345776","false","AP000350.5","AP000350.6","0.9403226","0.8633179664611816"
"LINC01291","0.81832","LINC01293","0.77986187","false","LINC01291","LINC01293","0.9489865","0.84905606508255"
"FKBP4P6","0.84660405","SLC17A6","0.7507066","false","FKBP4P6","SLC17A6","0.94820195","0.8485042452812195"
"AMY1B","0.85223037","AMY1A","0.7493858","false","AMY1B","AMY1A","0.92631346","0.8426432013511658"
"AC093642.3","0.8451613","AC093642.1","0.7067128","false","AC093642.3","AC093642.1","0.9649193","0.838931143283844"
"VN1R53P","0.8408602","TMEM161BP1","0.7142197","false","VN1R53P","TMEM161BP1","0.95887095","0.8379836082458496"
"RP11-301G19.2","0.8615072","C16orf82","0.7081656","false","RP11-301G19.2","C16orf82","0.92029065","0.8299878239631653"
"OR10C1","0.81776035","VGLL2","0.7451378","false","OR10C1","VGLL2","0.92136765","0.8280885815620422"
"OR8G2P","0.8331448","OR8F1P","0.7666019","false","OR8G2P","OR8F1P","0.8807723","0.8268396854400635"
"AC144450.2","0.82669586","AC144450.1","0.7084577","false","AC144450.2","AC144450.1","0.942837","0.8259968757629395"
"LINC01346","0.85343647","ASH2LP1","0.68071425","false","LINC01346","ASH2LP1","0.92233807","0.8188295960426331"
"RP11-79E3.3","0.8439085","OPALIN","0.6746034","false","RP11-79E3.3","OPALIN","0.92640173","0.8149712085723877"
"ANKRD30A","0.8107527","TMEM161BP1","0.6843588","false","ANKRD30A","TMEM161BP1","0.9451613","0.813424289226532"
"XAGE1B","0.83052933","XAGE1A","0.7038698","false","XAGE1B","XAGE1A","0.8961665","0.8101885318756104"
"LINC00517","0.8107527","TTC6","0.67822343","false","LINC00517","TTC6","0.9387097","0.8092285990715027"
"LINC01152","0.827957","SOX9-AS1","0.6426832","false","LINC01152","SOX9-AS1","0.9483871","0.8063424229621887"
"RP11-557C9.1","0.82501006","RP11-88E18.1","0.66296643","false","RP11-557C9.1","RP11-88E18.1","0.92257226","0.8035162091255188"
"RP11-402K9.1","0.82740337","CTD-2561F5.1","0.64355","false","RP11-402K9.1","CTD-2561F5.1","0.93854016","0.8031644821166992"
"OR52E6","0.8351559","OR52E7P","0.66894436","false","OR52E6","OR52E7P","0.90076065","0.8016203045845032"
"POTEKP","0.772043","LINC01087","0.7229077","false","POTEKP","LINC01087","0.90967745","0.8015427589416504"
"RP11-466J24.1","0.8367347","OR14C36","0.6888873","false","RP11-466J24.1","OR14C36","0.87801045","0.8012108206748962"
"RP11-494M8.4","0.8255809","OR5P4P","0.6266472","false","RP11-494M8.4","OR5P4P","0.9456054","0.7992777824401855"
"RP11-346M5.1","0.79956895","CYP4Z2P","0.65188307","false","RP11-346M5.1","CYP4Z2P","0.9450494","0.7988338470458984"
"LINC00993","0.7965559","TMEM161BP1","0.6735991","false","LINC00993","TMEM161BP1","0.92610145","0.7987521290779114"
"RP4-668E10.4","0.7941176","LINC01111","0.70456463","false","RP4-668E10.4","LINC01111","0.89711434","0.7985988259315491"
"CTC-463N11.1","0.8257877","CTD-2561F5.1","0.6673273","false","CTC-463N11.1","CTD-2561F5.1","0.89927","0.7974616885185242"
"RP11-1038A11.3","0.8065268","RP11-1038A11.1","0.6738568","false","RP11-1038A11.3","RP11-1038A11.1","0.9107438","0.7970424294471741"
"OR8B1P","0.78520703","OR8G5","0.7369771","false","OR8B1P","OR8G5","0.8642427","0.7954756617546082"
"RP11-319E16.2","0.81088185","RP11-1038A11.1","0.63927555","false","RP11-319E16.2","RP11-1038A11.1","0.9335077","0.7945550084114075"
"LINC00635","0.788896","RP11-698E18.1","0.7050695","false","LINC00635","RP11-698E18.1","0.8871943","0.7937199473381042"
"NCAPD2P1","0.80110306","ANHX","0.71868414","false","NCAPD2P1","ANHX","0.8593718","0.7930529713630676"
"CYP4F30P","0.7677419","POTEI","0.6874336","false","CYP4F30P","POTEI","0.9229839","0.792719841003418"
"CD19","0.7896482","POU2AF1","0.65954065","false","CD19","POU2AF1","0.92698675","0.792058527469635"
"CTC-525D6.1","0.7885292","RP11-342M1.6","0.6991423","false","CTC-525D6.1","RP11-342M1.6","0.88819766","0.7919564247131348"
"OR4K8P","0.8062016","OR4K7P","0.6681141","false","OR4K8P","OR4K7P","0.9007833","0.7916996479034424"
"GOLGA6L22","0.8017651","RP11-491F9.5","0.6769744","false","GOLGA6L22","RP11-491F9.5","0.89579755","0.7915123105049133"
"ANKRD30B","0.7826188","RP11-527H14.4","0.6737722","false","ANKRD30B","RP11-527H14.4","0.91452265","0.7903046011924744"
"IGKV1-6","0.77321994","IGKV1-17","0.6672062","false","IGKV1-6","IGKV1-17","0.9303077","0.7902445793151855"
"CICP11","0.8021136","LINC00558","0.6508507","false","CICP11","LINC00558","0.91732377","0.7900960445404053"
"RP11-276H19.4","0.8115179","MRPL35P4","0.6624621","false","RP11-276H19.4","MRPL35P4","0.8940733","0.7893510460853577"
"SOX14","0.7888889","DNAJA1P5","0.67745626","false","SOX14","DNAJA1P5","0.9","0.7887816429138184"
"FCRL3","0.81505376","BLK","0.60145015","false","FCRL3","BLK","0.94798386","0.7881625294685364"
"AC073551.1","0.8065694","AC093375.1","0.64439833","false","AC073551.1","AC093375.1","0.91272914","0.7878990173339844"
"IGHV5-51","0.7386626","IGHV2-5","0.72916824","false","IGHV5-51","IGHV2-5","0.8956128","0.7878145575523376"
"POTEF","0.80215055","FAR2P1","0.62291217","false","POTEF","FAR2P1","0.9370968","0.7873864769935608"
"LINC00402","0.77634406","BLK","0.6611696","false","LINC00402","BLK","0.9229839","0.7868325114250183"
"CSN2","0.7824222","TRIM49D1","0.6995679","false","CSN2","TRIM49D1","0.8778108","0.7866002917289734"
"OR5BE1P","0.7860012","TAAR2","0.74799013","false","OR5BE1P","TAAR2","0.82332045","0.7857705950737"
"LINC01440","0.7990753","CLEC4M","0.6509099","false","LINC01440","CLEC4M","0.9061809","0.785388708114624"
"RP11-445O3.3","0.7874898","HTR2C","0.6444689","false","RP11-445O3.3","HTR2C","0.9221712","0.7847099304199219"
"KIAA0125","0.827957","POU2AF1","0.5719354","false","KIAA0125","POU2AF1","0.9520161","0.7839694619178772"
"CTC-327F10.4","0.8025932","C5orf46","0.61279017","false","CTC-327F10.4","C5orf46","0.9358613","0.783748209476471"
"ZNF679","0.7849768","ZNF962P","0.6990479","false","ZNF679","ZNF962P","0.8641106","0.7827118039131165"
"OR8K3","0.76143867","RP11-314N14.1","0.75342774","false","OR8K3","RP11-314N14.1","0.8324045","0.7824236750602722"
"RP11-698E18.1","0.78178024","LINC00454","0.6521451","false","RP11-698E18.1","LINC00454","0.9133262","0.7824172377586365"
"PRNT","0.79643685","RP11-566K19.12","0.6675152","false","PRNT","RP11-566K19.12","0.88236475","0.7821056246757507"
"FAM138D","0.7762942","RP11-114G11.4","0.71297693","false","FAM138D","RP11-114G11.4","0.85698205","0.7820844054222107"
"ECM1P1","0.7887701","RP11-54D18.4","0.6590532","false","ECM1P1","RP11-54D18.4","0.8980022","0.781941831111908"
"IGKC","0.750813","IGHV2-5","0.69600177","false","IGKC","IGHV2-5","0.8987496","0.7818548083305359"
"IGLV1-40","0.74298227","IGHV2-5","0.69332135","false","IGLV1-40","IGHV2-5","0.9077156","0.781339704990387"
"ABCF2P1","0.7845519","RP5-998G20.1","0.67193425","false","ABCF2P1","RP5-998G20.1","0.88627505","0.7809204459190369"
"RP11-136K7.3","0.7718494","PMCHL2","0.6813092","false","RP11-136K7.3","PMCHL2","0.88952726","0.7808952927589417"
"AC005152.3","0.78048086","SOX9-AS1","0.64753944","false","AC005152.3","SOX9-AS1","0.91394126","0.7806537747383118"
"MC2R","0.80697364","RP11-463J7.2","0.615316","false","MC2R","RP11-463J7.2","0.91906387","0.7804511189460754"
"AC013733.4","0.78074425","RP11-103J17.2","0.6938931","false","AC013733.4","RP11-103J17.2","0.866393","0.7803434729576111"
"IGJ","0.772043","IGHA1","0.6481923","false","IGJ","IGHA1","0.9197581","0.7799978256225586"
"SCRT2","0.7876092","RP11-103J17.2","0.6865886","false","SCRT2","RP11-103J17.2","0.86182296","0.7786736488342285"
"CH507-254M2.1","0.7887931","CH507-254M2.2","0.62684387","false","CH507-254M2.1","CH507-254M2.2","0.91974187","0.7784596085548401"
"OR5P2","0.77090526","OR5P4P","0.63585305","false","OR5P2","OR5P4P","0.925298","0.7773520946502686"
"RP11-469H8.6","0.7608988","AQP5","0.6696134","false","RP11-469H8.6","AQP5","0.89999217","0.7768347859382629"
"IGHV3-74","0.7290323","IGKV1D-39","0.7045562","false","IGHV3-74","IGKV1D-39","0.8967742","0.7767875790596008"
"SMIM21","0.766803","RP11-193H5.1","0.66946185","false","SMIM21","RP11-193H5.1","0.89401156","0.7767588496208191"
"RP11-104C4.2","0.80487895","SALL1P1","0.64998597","false","RP11-104C4.2","SALL1P1","0.87539303","0.7767526507377625"
"EXOC7P1","0.7982231","FAM71B","0.6348568","false","EXOC7P1","FAM71B","0.89614457","0.7764081954956055"
"RPL6P7","0.7900599","PLCH1","0.6115409","false","RPL6P7","PLCH1","0.9275484","0.776383101940155"
"IGLV1-51","0.76344085","POU2AF1","0.6518745","false","IGLV1-51","POU2AF1","0.9104839","0.7752664089202881"
"AC005307.3","0.7876092","PABPC1P12","0.6417348","false","AC005307.3","PABPC1P12","0.8930436","0.7741291522979736"
"IGHG2","0.74623656","IGKC","0.665759","false","IGHG2","IGKC","0.9100807","0.7740254402160645"
"ERBB4","0.77824664","MTND2P23","0.62069046","false","ERBB4","MTND2P23","0.9228181","0.7739183902740479"
"AC105921.5","0.77824664","MTND2P23","0.6132132","false","AC105921.5","MTND2P23","0.92989963","0.7737864851951599"
"ATP8A2P1","0.76950234","TMEM161BP1","0.64717036","false","ATP8A2P1","TMEM161BP1","0.90359694","0.7734231948852539"
"AC012494.1","0.7849768","CYCSP6","0.62668836","false","AC012494.1","CYCSP6","0.90813226","0.7732658386230469"
"ZSWIM5P3","0.7300067","DDX18P6","0.74049747","false","ZSWIM5P3","DDX18P6","0.8490381","0.7731807827949524"
"RP11-618P13.1","0.78667474","SPATA31B1P","0.62679446","false","RP11-618P13.1","SPATA31B1P","0.90584236","0.7731038928031921"
"SLC13A1","0.8095794","CTD-2561F5.1","0.5998589","false","SLC13A1","CTD-2561F5.1","0.9071984","0.7722122073173523"
"RP11-38O23.4","0.7756156","TAAR2","0.6959345","false","RP11-38O23.4","TAAR2","0.84347826","0.7716760635375977"
"GS1-309P15.2","0.7695622","LRRC74B","0.63735723","false","GS1-309P15.2","LRRC74B","0.9078457","0.7715883851051331"
"BLACAT1","0.73786795","SHC4","0.6751809","false","BLACAT1","SHC4","0.9007665","0.7712717652320862"
"RP11-527H14.6","0.7943804","RP11-527H14.4","0.6208","false","RP11-527H14.6","RP11-527H14.4","0.8980248","0.7710683941841125"
"IGKV3-11","0.7723881","IGHV2-5","0.63175595","false","IGKV3-11","IGHV2-5","0.9088343","0.7709927558898926"
"OR10D3","0.7647234","OR8F1P","0.72924185","false","OR10D3","OR8F1P","0.81852806","0.7708311080932617"
"RP11-101E5.1","0.72100246","HSPD1P3","0.7786592","false","RP11-101E5.1","HSPD1P3","0.8124363","0.7706993222236633"
"RN7SL314P","0.7896482","TMEM161BP1","0.60444325","false","RN7SL314P","TMEM161BP1","0.91649866","0.7701966762542725"
"OR4G1P","0.8005702","RP11-64I5.1","0.6495024","false","OR4G1P","RP11-64I5.1","0.8588208","0.7696310877799988"
"IGHA1","0.746498","IGHV3-7","0.65057117","false","IGHA1","IGHV3-7","0.9072207","0.7680966258049011"
"ADAM30","0.75139266","RP11-91I20.3","0.6599006","false","ADAM30","RP11-91I20.3","0.8928546","0.7680492401123047"
"RP11-728D14.6","0.77155125","OR8F1P","0.6696023","false","RP11-728D14.6","OR8F1P","0.86292905","0.7680275440216064"
"IGKV1-5","0.750813","IGHV2-5","0.6459486","false","IGKV1-5","IGHV2-5","0.9068173","0.7678596377372742"
"RP11-24P4.1","0.7560945","RP11-64I5.1","0.701843","false","RP11-24P4.1","RP11-64I5.1","0.8452346","0.7677240371704102"
"MAGEA12","0.78436893","CSAG1","0.6660086","false","MAGEA12","CSAG1","0.8526339","0.7676704525947571"
"IGKV1-16","0.746498","IGHV2-5","0.6671825","false","IGKV1-16","IGHV2-5","0.88906825","0.767582893371582"
"RP11-118H4.1","0.79279053","SALL1P1","0.6125941","false","RP11-118H4.1","SALL1P1","0.89628637","0.7672236561775208"
"LINC01566","0.8253504","CTD-2561F5.1","0.55020386","false","LINC01566","CTD-2561F5.1","0.9247798","0.7667779922485352"
"FGF7P1","0.78013927","RP11-527H14.4","0.6309585","false","FGF7P1","RP11-527H14.4","0.88676846","0.7659554481506348"
"RP11-387A1.6","0.78971726","RP11-1281K21.1","0.61530465","false","RP11-387A1.6","RP11-1281K21.1","0.8923094","0.7657771110534668"
"MTND4P5","0.73835635","LINC00454","0.70052725","false","MTND4P5","LINC00454","0.85772514","0.7655362486839294"
"OR4K15","0.7331","KRTAP24-1","0.73654497","false","OR4K15","KRTAP24-1","0.82690257","0.7655158638954163"
"RP11-470L19.2","0.75160295","C16orf82","0.72453946","false","RP11-470L19.2","C16orf82","0.8196","0.7652475237846375"
"RBP3","0.7780373","WBP1LP1","0.6173383","false","RBP3","WBP1LP1","0.8986275","0.7646676898002625"
"AP000479.1","0.78063375","PRAMENP","0.6106707","false","AP000479.1","PRAMENP","0.902641","0.7646484971046448"
"POU3F4","0.742851","OR8F1P","0.6976223","false","POU3F4","OR8F1P","0.852763","0.7644121050834656"
"NEUROD4","0.74466604","RP11-521H3.3","0.6574598","false","NEUROD4","RP11-521H3.3","0.8908441","0.7643232941627502"
"AMMECR1LP1","0.7614794","HS6ST3","0.63624275","false","AMMECR1LP1","HS6ST3","0.894175","0.7639656662940979"
"LINC00320","0.7794938","PRAMEF18","0.6884766","false","LINC00320","PRAMEF18","0.8211003","0.7630235552787781"
"OR6K1P","0.7504378","UBQLN1P1","0.7087685","false","OR6K1P","UBQLN1P1","0.82973415","0.7629801630973816"
"AC018890.4","0.7687305","CTAGE16P","0.6123296","false","AC018890.4","CTAGE16P","0.9074089","0.7628230452537537"
"ZIC4","0.7376344","ZIC1","0.6545845","false","ZIC4","ZIC1","0.8959677","0.7627288699150085"
"OR52E6","0.7763291","OR52E4","0.63290143","false","OR52E6","OR52E4","0.87838006","0.7625368237495422"
"IGHV3-53","0.7231309","IGKV2-28","0.6758475","false","IGHV3-53","IGKV2-28","0.88835067","0.7624430060386658"
"USP29","0.76004565","UGT2B10","0.6416625","false","USP29","UGT2B10","0.88551444","0.7624075412750244"
"RP11-158D2.2","0.752606","RP11-510C10.4","0.65771645","false","RP11-158D2.2","RP11-510C10.4","0.8768515","0.7623913288116455"
"RP11-80F22.5","0.7874448","PABPC1P12","0.6284388","false","RP11-80F22.5","PABPC1P12","0.8711777","0.7623537182807922"
"IGHV3-23","0.74919313","IGHV5-51","0.6445968","false","IGHV3-23","IGHV5-51","0.89303356","0.7622745037078857"
"HSPA8P6","0.7958145","RP11-225N10.1","0.59574527","false","HSPA8P6","RP11-225N10.1","0.8951365","0.7622321248054504"
"RP11-20F18.1","0.7355636","LINC00706","0.690134","false","RP11-20F18.1","LINC00706","0.8608565","0.7621846795082092"
"RP11-634B7.4","0.7680731","OR14A2","0.5943688","false","RP11-634B7.4","OR14A2","0.9233563","0.7619326710700989"
"SNORA71C","0.76641595","SNORA71A","0.6049496","false","SNORA71C","SNORA71A","0.9144067","0.7619240880012512"
"ANKRD30BP1","0.7486712","RP11-527H14.4","0.6471833","false","ANKRD30BP1","RP11-527H14.4","0.8893081","0.7617208361625671"
"SPATA31D2P","0.775663","PABPC1P12","0.60972905","false","SPATA31D2P","PABPC1P12","0.8990905","0.7614941596984863"
"CTD-2015G9.1","0.7792464","CTD-2015G9.2","0.58707714","false","CTD-2015G9.1","CTD-2015G9.2","0.91811216","0.7614786028862"
"IGLC3","0.7319703","IGLV4-69","0.66148496","false","IGLC3","IGLV4-69","0.8902107","0.7612219452857971"
"LINC01204","0.76805985","TMEM74","0.60107875","false","LINC01204","TMEM74","0.9144595","0.761199414730072"
"IGHV3-11","0.7419355","IGHV3-30","0.635262","false","IGHV3-11","IGHV3-30","0.90604836","0.7610819339752197"
"RIOK3P1","0.7740632","SALL1P1","0.6369903","false","RIOK3P1","SALL1P1","0.8712051","0.7607528567314148"
"EEF1A1P42","0.7837144","RP11-1081L13.3","0.64692855","false","EEF1A1P42","RP11-1081L13.3","0.85107845","0.7605738043785095"
"IGHV3-72","0.7186147","IGHV3-7","0.68686813","false","IGHV3-72","IGHV3-7","0.8761098","0.7605308890342712"
"RP11-730N24.1","0.7549057","PABPC1P12","0.6620888","false","RP11-730N24.1","PABPC1P12","0.8631706","0.7600550651550293"
"AC144833.1","0.7482745","GABRG3","0.6132363","false","AC144833.1","GABRG3","0.9168842","0.7594649791717529"
"PAQR9-AS1","0.7828013","MAS1","0.58991253","false","PAQR9-AS1","MAS1","0.9051657","0.7592931389808655"
"SPATA31A3","0.74385923","RP11-395E19.6","0.69273806","false","SPATA31A3","RP11-395E19.6","0.8402649","0.7589540481567383"
"LINC00410","0.7248294","TUBBP6","0.6902816","false","LINC00410","TUBBP6","0.861242","0.7587843537330627"
"LINC00864","0.70320857","AC140725.8","0.7068899","false","LINC00864","AC140725.8","0.8660377","0.758712112903595"
"JKAMPP1","0.75961536","ACTR3BP3","0.67898387","false","JKAMPP1","ACTR3BP3","0.8375094","0.7587029337882996"
"BLACAT1","0.77428645","LEMD1-AS1","0.5800323","false","BLACAT1","LEMD1-AS1","0.92077726","0.7583653330802917"
"IGLL5","0.7300233","IGHV2-5","0.66960937","false","IGLL5","IGHV2-5","0.87503785","0.7582235336303711"
"CTA-280A3.1","0.7534988","CTA-280A3.2","0.60638463","false","CTA-280A3.1","CTA-280A3.2","0.9138018","0.7578950524330139"
"AGR2","0.70752686","FOXA1","0.6773191","false","AGR2","FOXA1","0.88870966","0.7578518986701965"
"LINC01492","0.7828353","AC010731.4","0.6023225","false","LINC01492","AC010731.4","0.88836414","0.757840633392334"
"RP11-15H7.2","0.7769468","RP4-775D17.1","0.60763776","false","RP11-15H7.2","RP4-775D17.1","0.8886058","0.7577300667762756"
"LINC01581","0.7432278","LINC00558","0.64822006","false","LINC01581","LINC00558","0.8802035","0.7572171092033386"
"CHODL-AS1","0.76890904","C21orf91-OT1","0.6047066","false","CHODL-AS1","C21orf91-OT1","0.8971041","0.7569065690040588"
"RP11-244B22.1","0.719325","MAGEB6","0.70740896","false","RP11-244B22.1","MAGEB6","0.8439442","0.7568926811218262"
"CYP4Z1","0.74623656","RP11-184J23.2","0.6104481","false","CYP4Z1","RP11-184J23.2","0.9137097","0.7567980885505676"
"RP3-492J12.2","0.75944304","BLK","0.6014733","false","RP3-492J12.2","BLK","0.9088343","0.7565835118293762"
"RP11-476D10.1","0.78214055","RP11-576D8.4","0.57489794","false","RP11-476D10.1","RP11-576D8.4","0.9125164","0.7565183043479919"
"PTPRD-AS2","0.7429501","CLEC4M","0.6637275","false","PTPRD-AS2","CLEC4M","0.8624406","0.7563727498054504"
"PAX5","0.7319703","CR2","0.6312032","false","PAX5","CR2","0.9059381","0.7563705444335938"
"RP11-25D10.2","0.77291626","PABPC1P12","0.6520697","false","RP11-25D10.2","PABPC1P12","0.8440119","0.7563325762748718"
"OR2L13","0.7378184","RSPO2","0.62912554","false","OR2L13","RSPO2","0.9020159","0.7563199996948242"
"SPANXN2","0.74786323","OR5BE1P","0.7138947","false","SPANXN2","OR5BE1P","0.806836","0.7561979293823242"
"NFYAP1","0.7230913","OR8F1P","0.73506415","false","NFYAP1","OR8F1P","0.8103337","0.7561630606651306"
"OR8B1P","0.75323546","PANX3","0.6864392","false","OR8B1P","PANX3","0.82872546","0.7561333775520325"
"RP11-300M24.1","0.78754807","REG1B","0.5897334","false","RP11-300M24.1","REG1B","0.89085823","0.7560465335845947"
"XXyac-YR12DB5.1","0.7678208","RP11-395E19.6","0.6432722","false","XXyac-YR12DB5.1","RP11-395E19.6","0.8569432","0.7560120224952698"
"LHX1","0.77308977","RP11-445F12.1","0.59367806","false","LHX1","RP11-445F12.1","0.901006","0.755924642086029"
"LINC01226","0.7290323","LINC01225","0.65317655","false","LINC01226","LINC01225","0.88508064","0.7557631134986877"
"FAM83A","0.72079444","FAM83A-AS1","0.6636988","false","FAM83A","FAM83A-AS1","0.8825433","0.7556788325309753"
"IGKV1D-39","0.7290323","IGLV3-19","0.6546959","false","IGKV1D-39","IGLV3-19","0.8830645","0.7555975914001465"
"KLHL1","0.72552174","LINC01205","0.7432255","false","KLHL1","LINC01205","0.797867","0.7555380463600159"
"RP11-593P24.2","0.7841945","SALL1P1","0.61204034","false","RP11-593P24.2","SALL1P1","0.87017375","0.755469560623169"
"RP11-35J10.6","0.77124184","OR5P4P","0.5793319","false","RP11-35J10.6","OR5P4P","0.91545457","0.7553427815437317"
"MS4A1","0.74623656","BLK","0.6346273","false","MS4A1","BLK","0.88508064","0.755314826965332"
"GYG1P2","0.77791256","RP11-64I5.1","0.6473707","false","GYG1P2","RP11-64I5.1","0.83952147","0.7549348473548889"
"AC105342.1","0.77180594","RP11-491F9.5","0.651225","false","AC105342.1","RP11-491F9.5","0.84155506","0.7548620104789734"
"ERVV-2","0.7231121","LINC01114","0.6589673","false","ERVV-2","LINC01114","0.882178","0.7547524571418762"
"RP11-805I24.3","0.74036145","LINC00454","0.654079","false","RP11-805I24.3","LINC00454","0.8697411","0.7547271847724915"
"KRT16","0.76293105","PPP1R14C","0.5972163","false","KRT16","PPP1R14C","0.9036096","0.7545856833457947"
"RP11-333A23.3","0.75514823","TAAR2","0.72838426","false","RP11-333A23.3","TAAR2","0.7800816","0.7545380592346191"
"LINC00517","0.77707267","CTD-2058B24.2","0.5809126","false","LINC00517","CTD-2058B24.2","0.9053486","0.7544445991516113"
"MAGEA6","0.752606","MAGEA3","0.6559689","false","MAGEA6","MAGEA3","0.85475546","0.7544434070587158"
"MTND5P6","0.7548294","ZNF716","0.6097655","false","MTND5P6","ZNF716","0.89792097","0.7541720271110535"
"OR5T3","0.7629995","RP11-101E19.8","0.62903994","false","OR5T3","RP11-101E19.8","0.8702038","0.7540810704231262"
"RP11-246K15.1","0.7361855","LINC01222","0.6888261","false","RP11-246K15.1","LINC01222","0.8369434","0.7539849877357483"
"CSTF3-AS1","0.737199","BEND2","0.64740056","false","CSTF3-AS1","BEND2","0.87715685","0.7539188265800476"
"RP11-463J7.2","0.7469087","SALL1P1","0.6744683","false","RP11-463J7.2","SALL1P1","0.8378211","0.7530660629272461"
"MTND5P19","0.751558","RP11-510C10.4","0.6693753","false","MTND5P19","RP11-510C10.4","0.8380116","0.7529816627502441"
"RP11-91I20.3","0.75581264","AL672296.1","0.60354704","false","RP11-91I20.3","AL672296.1","0.8995449","0.7529682517051697"
"MCHR2","0.7470422","CTD-2351A16.1","0.6174511","false","MCHR2","CTD-2351A16.1","0.894404","0.7529657483100891"
"POU2AF1","0.716129","IGHV3-30","0.6518572","false","POU2AF1","IGHV3-30","0.8907258","0.7529039978981018"
