GEN1,GEN2
FOXF1,FENDRR
MTND5P10,RP11-790J24.2
MTND5P10,LINC00700
MTND5P10,RP11-238K6.1
MTND5P10,CTA-992D9.8
MTND5P10,CTAGE1
MTND5P10,CCDC11P1
MTND5P10,NEFMP1
MTND5P10,RP11-691G17.1
MTND5P10,MTND5P7
MTND5P10,RP5-921G16.1
MTND5P10,RP11-897M7.2
MTND5P10,MTND5P27
MTND5P10,AC079248.1
MTND5P10,MTND5P23
MTND5P10,CYLC2
MTND5P10,LINC01206
MTND5P10,RP11-1217F2.9
MTND5P10,RP11-5A1.1
MTND5P10,AC011518.1
MTND5P10,KCNG4
MTND5P10,CTA-212A2.3
MTND5P10,RP11-578F21.4
MTND5P10,KLK3
MTND5P10,RP11-491F9.3
MTND5P10,RP11-753A21.2
MTND5P10,KNCN
MTND5P10,MTND2P9
MTND5P10,AC073869.8
MTND5P10,RP11-846F4.6
MTND5P10,BOD1L2
MTND5P10,MTND5P29
MTND5P10,USP29
MTND5P10,RP11-113I24.1
MTND5P10,AL022344.5
MTND5P10,AC007682.1
MTND5P10,RP11-334E15.1
MTND5P10,RP11-753D20.4
MTND5P10,MTND4P27
MTND5P10,TNP2
MTND5P10,FOXR2
MTND5P10,RP11-666G4.1
MTND5P10,MUC7
MTND5P10,OR1I1
MTND5P10,GFY
MTND5P10,TCP10
MTND5P10,ZNF806
MTND5P10,HNRNPA1P54
MTND5P10,SPATA31B1P
MTND5P10,RP3-333B15.4
MTND5P10,OR2H1
MTND5P10,OR1S2
MTND5P10,SMIM21
MTND5P10,AC068137.5
MTND5P10,CACNG3
MTND5P10,PRNT
MTND5P10,LL22NC03-27C5.1
MTND5P10,RP11-67H2.1
MTND5P10,REG1P
MTND5P10,MAN1A2P1
MTND5P10,RP11-760D2.11
MTND5P10,RP11-624J12.1
MTND5P10,RP11-626I20.3
MTND5P10,MUC17
MTND5P10,RP4-668E10.4
MTND5P10,GS1-519E5.1
MTND5P10,MTND5P30
MTND5P10,LINC01007
MTND5P10,MTND2P6
MTND5P10,GAD2
MTND5P10,HHLA1
MTND5P10,CTD-2207A17.1
MTND5P10,KLK15
MTND5P10,MTND4P4
MTND5P10,RP11-101E19.4
MTND5P10,CTA-342B11.3
MTND5P10,RP11-340L3.1
MTND5P10,MTND5P17
MTND5P10,RP11-45K10.2
MTND5P10,MYADML
MTND5P10,KLK2
MTND5P10,RNASE9
MTND5P10,AC006548.28
MTND5P10,RP11-81M19.1
MTND5P10,RP11-1217F2.13
MTND5P10,MTND1P15
MTND5P10,NEFHP1
MTND5P10,CTD-2320B12.1
MTND5P10,MTND5P13
MTND5P10,RP11-87G24.2
MTND5P10,AC105342.1
MTND5P10,LINC00841
MTND5P10,CTC-281M20.1
MTND5P10,MTND5P3
MTND5P10,MTND5P6
MTND5P10,RP11-861E23.2
MTND5P10,RP4-815D20.1
MTND5P10,RP11-475D12.2
MTND5P10,RP11-677O4.2
MTND5P10,RP11-566K19.12
