"gene","variance","mean_expr"
"FGA",32.344848842966,6.06824190824438
"FGB",30.9049566226937,5.83955656082883
"FGG",30.8958247144742,6.27937246798895
"ANKRD30A",30.3185969545532,8.76327587412548
"SOX10",24.5072852660854,5.76953344564326
"CRP",24.4933592264009,4.85808388655297
"ORM1",24.0164496526379,5.91943999778853
"AL589842.1",23.9800975410831,7.43978366514047
"MGC39584",23.1483277657521,5.87945433849523
"MUCL1",21.7533033029135,7.9276517018548
"TFF1",21.705035006042,5.57275622335545
"APOC3",21.4427387993862,2.72342062043477
"KRT5",21.4393502021537,7.99964009930344
"GC",21.0779476752856,3.06706049852627
"LINC00993",21.0133938886776,5.30402510453294
"RP11-334J6.7",20.8869475033927,4.2279530809439
"CALML5",20.8603959565502,7.63860471985703
"KLK5",20.7844857960248,6.69804635192023
"ALB",20.7487242676158,7.7422789763039
"CH507-528H12.1",20.7451257305685,3.94117668121168
"KRT81",20.7326387599666,8.07580249521282
"GABRP",20.4177066880188,9.33790073910506
"KRT16",20.4049042765444,7.4590422302726
"PRAME",20.3717923728271,7.60809640460986
"RP11-205M5.3",20.2112529167371,5.07050532065808
"APOH",19.7441262700443,3.00041447949344
"KRT6B",19.6977163393325,6.26974789439848
"DSG3",19.6006135653728,5.94845461531985
"STAC2",19.5728834317026,7.7300686075312
"KRT6A",19.5166921084818,5.84791263368648
"KRT14",19.3966947095591,6.46555792284826
"ANKRD36BP1",19.3287272084261,6.3841839532999
"POTEKP",18.9659616677585,6.63450217367022
"SCGB2A2",18.9582687874084,8.05735084982996
"MAGEA4",18.9253171006056,3.75635983292406
"MAGEA3",18.8372836246899,3.80197389159938
"ADIPOQ",18.8330363892738,6.44326267674095
"KLK6",18.7865580991006,5.70136099227271
"CRABP1",18.7495591047349,6.50315786292814
"RP11-206M11.7",18.6482473682164,5.35246853757856
"SLC2A3P1",18.6045109511267,6.65502421784378
"VN1R53P",18.5143013448226,5.80878486954659
"APCS",18.4689275566512,3.06881957054325
"VGLL1",18.425301877614,5.55480285521846
"RP11-649E7.5",18.1971586374273,5.45906653619349
"IGFBP1",18.1473527402692,4.17013069162763
"SFRP2",18.074924055449,9.60517205505754
"APOA1",18.0686724540651,4.66191256585789
"EN1",17.9441583138235,7.43400164311855
"MAGEA6",17.8075752702418,3.84436508916576
"RN7SL314P",17.6096396145016,4.68088073470639
"CASP14",17.525183235724,6.54475170919191
"ATP8A2P1",17.2043908699355,4.14846089162063
"FGL1",17.1816819144638,4.97839121893208
"RP11-78A19.3",17.1284614680095,3.59544727250828
"POTEC",17.0766065847846,5.6226301359573
"ORM2",16.9483775132693,5.12061175507747
"AGR2",16.9275749708283,10.4948663139786
"RP11-442H21.2",16.8798692613501,3.20769481686418
"AHSG",16.8343014917117,3.5024211469328
"KRT17",16.7895584882451,9.32886902344071
"ANKRD30B",16.7132415855949,7.3541700993111
"SERPINB5",16.6073163975339,7.35208958640642
"KLK7",16.6037666126416,5.88171072784067
"SNORA21",16.5048590985253,8.6061399543825
"MIR205HG",16.416458123072,8.57735749155151
"S100A7",16.3270049789889,4.85030959441536
"LINC01152",16.3044001490635,6.50524004143576
"TFAP2B",16.2663397887845,7.6397077550181
"GSTM1",16.2555767623789,4.68461207803271
"CTD-2369P2.12",16.2519017176837,2.73388436823318
"SNORA64",16.032757644563,9.53392353873937
"PIP",15.9969639349873,6.06315160453736
"ITIH1",15.9826020029218,4.13628399572913
"MSLN",15.7640177323274,6.52495813394872
"CLEC3A",15.7448501358868,3.89114971276407
"HMGCS2",15.6716221276365,6.60712648563892
"C8B",15.6711887303145,3.04219552899676
"APOB",15.6177033806597,8.11070110231991
"ELF5",15.580724528099,8.94399255410286
"LBP",15.5795815863836,7.09172254958664
"LINC01087",15.5748363687635,7.0424974013182
"APOA2",15.5710054013129,4.23446883425837
"CRISP3",15.5249933694327,6.43674378914077
"FABP7",15.5007893804415,4.41618818643656
"KNG1",15.4813427052014,4.48028108876484
"MMP13",15.4522454755785,6.57107738322448
"RP11-326A19.5",15.4391378227714,5.42122170926456
"UGT2B4",15.3835090468857,3.99218266606584
"RP11-19E11.1",15.3657640960254,4.85765741019588
"F2",15.3029837428865,3.87515853178341
"XXbac-BPG246D15.9",15.2415250531507,5.77933058780861
"RPS10-NUDT3",15.234850928448,5.39163625078339
"BRINP3",15.1936763667234,4.96463481361231
"SNORA67",15.1895045879409,7.4598305892075
"G6PC",15.1851673810495,3.58455574160685
"RP11-407N17.3",15.1736663027418,2.90938703187809
"AGR3",15.1321848623793,6.93400196529524
"C9",15.1304410947422,4.00344298910285
"SCGB1D2",15.1254802879815,5.47882593396538
"MUC16",15.1135450356978,11.5311258079701
"SLC6A14",15.0996012804651,7.00081041885339
"CYP4Z2P",15.0862695664335,5.42764418344157
"HNRNPUL2-BSCL2",15.0682662801994,9.96027107957263
"SLC34A2",15.056285397699,8.51629000805488
"OBP2B",15.0251818434855,4.39925980872766
"NSFP1",14.9928576271183,7.16454109894397
"TFF3",14.9791303580405,7.93200519714964
"KLK8",14.9453412116036,4.65597987779927
"UGT2B15",14.921319340457,4.89954883895221
"LINC00707",14.8781482150454,5.00291160849681
"NLRP2",14.8364787833997,9.13292194533019
"RP11-428L9.2",14.8097741760221,5.02168772557986
"POTEF",14.7872202525425,8.14455224098518
"HRG",14.7207671231489,3.93452188606199
"SERPINB3",14.6833924861295,2.84638815181471
"MUC15",14.579180907648,7.26061311026163
"COL2A1",14.569833272929,6.08349909318239
"RP11-323N12.5",14.5641372362315,5.16694303931637
"IGHV1-69",14.5577458075041,4.94075501224579
"RP11-20F24.2",14.4868175530319,3.45933066325743
"SNORA10",14.4795946873359,8.12997436117426
"RP11-135L13.4",14.4727665731657,5.29846205451943
"C8A",14.4693209644072,2.77481751950449
"RP11-244F12.2",14.4416240581089,5.84041933572199
"C1orf64",14.4003725195121,5.39934073588396
"ART3",14.3707893227437,5.57569198491718
"C4BPA",14.3617959423889,5.86501564869382
"RP11-343C2.11",14.3601472916577,6.98719909478442
"NKX1-2",14.3560681118293,5.3612650794575
"RLIMP2",14.3507840124019,2.819114611352
"SCEL",14.3281990670387,5.4800887791142
"ROPN1",14.2963283607939,4.5797663105451
"AGXT",14.2617307947706,4.30021115115261
"KCNJ3",14.2521419302293,5.40946516395509
"F9",14.1434944559329,3.20906040595009
"PROM1",14.1433582973509,10.2668565892686
"NCCRP1",14.1158972045278,7.32091214189853
"CEACAM5",14.1079215689637,6.44932775713045
"SULT2A1",14.0636715998216,2.80372512458086
"KIF1A",14.0633165037011,8.69969772187369
"RP11-514P8.6",14.0624111687622,5.45615154760166
"RP11-346M5.1",14.0452023727204,5.31245127694208
"RP11-603J24.9",14.0169920675538,4.71225668478083
"RP11-373L24.1",13.9999362315992,3.28063168097975
"AQP5",13.9721382148019,6.09810534360153
"KRT23",13.9719190858293,9.53023622963022
"IGHV2-5",13.9392517422462,5.49195719013274
"RP11-63M22.2",13.9243378379113,2.46230167026786
"CXADRP3",13.9161097011587,4.01014213017816
"CTD-2015G9.2",13.9101384006382,5.11203387928322
"CTB-43P18.1",13.8947893993846,5.62145358594074
"LY6D",13.8455649405125,4.61113123176496
"RP1-56K13.3",13.8096650365796,2.22001631567091
"RP11-611O2.5",13.7994573767034,6.25385341340802
"RP4-533D7.6",13.7849613047027,2.4896078962715
"ALDOB",13.7827066191025,6.1253418044286
"A2ML1",13.762801587695,7.4615113440971
"LRRC15",13.7606322991041,9.12197685626439
"AC009133.15",13.7558667240259,5.97973864375137
"RP11-184J23.2",13.7177644213153,6.60187487706226
"TRIM29",13.7078329174933,9.16920035843146
"CLCA2",13.6849183913119,6.47135567699219
"IGLV3-21",13.6217909321369,6.69489228594221
"LY75-CD302",13.4967967899563,7.14312503660874
"PVALB",13.4660126483291,3.86538057748509
"RP11-513O17.2",13.4642441026229,3.67472074225424
"POTEJ",13.4522363793584,3.16777542454216
"MAGEA2",13.4119218772546,3.65937428661322
"MAGEA2B",13.4044093407112,2.74894144257971
"IGKV1-33",13.3506939111188,7.58719119502606
"TGFB2-OT1",13.3439909623436,5.04661427028207
"GLYATL2",13.2677184372253,7.70380384135306
"FABP1",13.2289059670209,3.10266488845146
"PIGR",13.1868036841301,8.02601443792442
"DSG1",13.1614593338363,5.06297439244994
"RP11-56G10.2",13.1304316212766,5.59037821756319
"KCNC2",13.1062599224494,3.42100291929156
"SNORA16A",13.1030528019206,8.77226596018397
"UGT2B11",13.0822302030936,4.69088558366209
"IGHV1-69-2",13.0569805949058,6.37921031076451
"OR4K8P",13.0563969812171,2.89896534849754
"POTEE",13.0497112293007,7.44722199549498
"RP11-73M18.2",13.0492211768348,3.87993006594207
"UGT1A1",13.0286146750566,3.34498023676379
"XXbac-BPG116M5.17",13.0202108937335,4.21866927374459
"MAGEA1",13.0194190533178,3.28362938869491
"HABP2",13.0026759044088,4.45683017706561
"GRIA2",12.965634016997,6.2552855512976
"SNORD3D",12.9635558554586,8.72953430856551
"IGHV4-4",12.9569902364342,4.74073211023592
"RP11-707O23.5",12.9547689879252,2.95738409778663
"NXPH1",12.9525606143105,4.87966083897207
"ABCA13",12.9297835467353,7.0776703259477
"UGT1A4",12.921477231803,3.10463132963852
"CREB3L3",12.9132519463282,3.08346907368592
"MKRN3",12.8993933579077,7.15210147100939
"HP",12.8922930851533,8.80115831192916
"ZIC1",12.891222606121,6.0953884780042
"AMY1C",12.8904760721483,3.12540830330679
