"sample","median_RLE","IQR_RLE","condition"
"Primary_1",0,2.17004282360612,"Primary"
"Metastatic_1",-0.168851178935607,1.17246175079736,"Metastatic"
"Metastatic_2",1.13283565161168,2.09671966112557,"Metastatic"
"Metastatic_3",1.655513412199,3.34226171207026,"Metastatic"
"Metastatic_4",1.51113557955644,2.73753323594131,"Metastatic"
"Metastatic_5",0.442033429028744,1.68943945968802,"Metastatic"
"Primary_2",0.914435726975092,1.73583173172127,"Primary"
"Metastatic_6",0.290740944627734,1.62040718018871,"Metastatic"
"Metastatic_7",0.633410105139987,1.54359402937773,"Metastatic"
"Metastatic_8",0.111997627291062,1.301071235078,"Metastatic"
"Primary_3",2.04795417196787,3.33333404130744,"Primary"
"Metastatic_9",0.5911548619209,1.82055317404498,"Metastatic"
"Metastatic_10",-0.483167650488645,1.31566795756671,"Metastatic"
"Primary_4",0.24933614657161,1.72133269632104,"Primary"
"Metastatic_11",0,1.16085013681712,"Metastatic"
"Metastatic_12",0.795106654619182,1.6603046986354,"Metastatic"
"Primary_5",0.625213187038982,1.8038533742943,"Primary"
"Metastatic_13",0.0718174386870654,1.4547674687057,"Metastatic"
"Primary_6",0.00542777030890029,1.44595003283391,"Primary"
"Metastatic_14",0.0751920085665805,1.38531262295865,"Metastatic"
"Primary_7",0.882615762495003,1.75581545948116,"Primary"
"Metastatic_15",-0.288994724407967,1.54332981780239,"Metastatic"
"Primary_8",1.65153533470099,3.28463857865399,"Primary"
"Metastatic_16",0.289729870384551,2.0643513109677,"Metastatic"
"Primary_9",0.48510030535584,1.56244620612312,"Primary"
"Metastatic_17",0.0617332206635461,1.40692618844195,"Metastatic"
"Primary_10",0.768696738973202,2.02748140632242,"Primary"
"Metastatic_18",-0.349866451387165,1.174919446051,"Metastatic"
"Primary_11",0.462877762640666,1.34676920288243,"Primary"
"Metastatic_19",-0.0314926744681796,1.72272361899087,"Metastatic"
"Primary_12",0.489412381559765,1.45556620499247,"Primary"
"Metastatic_20",0.11046343246008,1.43202135432838,"Metastatic"
"Primary_13",-0.127849943874971,1.81120647606574,"Primary"
"Metastatic_21",0.973490086128523,2.45849260937772,"Metastatic"
"Primary_14",0.480275452214677,1.52873012996175,"Primary"
"Metastatic_22",-0.0110000403935153,1.33176992301483,"Metastatic"
"Primary_15",-0.0140621090647102,1.28798103206526,"Primary"
"Metastatic_23",0,1.23437694242978,"Metastatic"
"Primary_16",0,1.19070731055679,"Primary"
"Metastatic_24",-0.118351161140513,1.55913457933914,"Metastatic"
"Primary_17",0.367323184488107,1.85345444322519,"Primary"
"Metastatic_25",0,1.92468773179407,"Metastatic"
"Primary_18",0.532220756077139,1.54566526705939,"Primary"
"Metastatic_26",0.407153189040184,1.4568878765642,"Metastatic"
"Metastatic_27",-0.220942010775398,1.14127537848371,"Metastatic"
"Metastatic_28",-0.220642485971225,1.10351911936692,"Metastatic"
"Metastatic_29",0,1.14572803906922,"Metastatic"
"Metastatic_30",-0.182643318997963,0.979207947215787,"Metastatic"
"Metastatic_31",-0.163754010106427,1.16043015260023,"Metastatic"
"Metastatic_32",-0.206227960556429,1.07209973756279,"Metastatic"
"Metastatic_33",-0.106636409863464,1.52609993409634,"Metastatic"
"Primary_19",1.81994056534361,3.32308636758795,"Primary"
"Metastatic_34",1.83171109433365,2.76655811040701,"Metastatic"
"Metastatic_35",-0.00582746556345121,1.75831284549146,"Metastatic"
"Metastatic_36",-0.00367166554726883,1.29085982695082,"Metastatic"
"Primary_20",0,1.11006012788103,"Primary"
