"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030098","lymphocyte differentiation","6/21","429/18870",5.41527846938061e-06,0.001549526759968,0.0010795075825864,"FCRL3/PLA2G2D/LY9/TNFRSF9/POU2AF1/MS4A1",6
"BP","GO:1903131","mononuclear cell differentiation","6/21","481/18870",1.04180076904464e-05,0.001549526759968,0.0010795075825864,"FCRL3/PLA2G2D/LY9/TNFRSF9/POU2AF1/MS4A1",6
"BP","GO:0042113","B cell activation","5/21","278/18870",1.12284547823768e-05,0.001549526759968,0.0010795075825864,"FCRL3/TNFRSF13B/POU2AF1/MS4A1/FCRL1",5
"BP","GO:0046651","lymphocyte proliferation","5/21","307/18870",1.81263822302627e-05,0.00167282574024611,0.00116540618567871,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9/MS4A1",5
"BP","GO:0032943","mononuclear cell proliferation","5/21","314/18870",2.02032094232622e-05,0.00167282574024611,0.00116540618567871,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9/MS4A1",5
"BP","GO:0070661","leukocyte proliferation","5/21","350/18870",3.39942159938276e-05,0.00234560090357411,0.00163410792672084,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9/MS4A1",5
"BP","GO:0002695","negative regulation of leukocyte activation","4/21","202/18870",6.61380682146363e-05,0.00391159432012278,0.00272508732192637,"PLA2G2D/TNFRSF13B/TIGIT/CNR2",4
"BP","GO:0050853","B cell receptor signaling pathway","3/21","77/18870",8.24083829482569e-05,0.0042646338175723,0.00297103906945032,"FCRL3/MS4A1/BLK",3
"BP","GO:0050866","negative regulation of cell activation","4/21","223/18870",9.70283649593144e-05,0.00446330478812846,0.00310944701740961,"PLA2G2D/TNFRSF13B/TIGIT/CNR2",4
"BP","GO:0050670","regulation of lymphocyte proliferation","4/21","238/18870",0.000124743884396736,0.0050061823972113,0.00348765313205161,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9",4
"BP","GO:0032944","regulation of mononuclear cell proliferation","4/21","242/18870",0.000133014508138465,0.0050061823972113,0.00348765313205161,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9",4
"BP","GO:0070663","regulation of leukocyte proliferation","4/21","267/18870",0.000194019248074081,0.00640832534957025,0.00446448295393402,"FCRL3/PLA2G2D/TNFRSF13B/TNFRSF9",4
"BP","GO:0042100","B cell proliferation","3/21","104/18870",0.000201227607595201,0.00640832534957025,0.00446448295393402,"FCRL3/TNFRSF13B/MS4A1",3
"BP","GO:0030183","B cell differentiation","3/21","153/18870",0.000624465312759252,0.018466331391595,0.0128649244884237,"FCRL3/POU2AF1/MS4A1",3
"BP","GO:0051250","negative regulation of lymphocyte activation","3/21","169/18870",0.00083356609709505,0.0230064242798234,0.0160278674108101,"PLA2G2D/TNFRSF13B/TIGIT",3
"BP","GO:0050851","antigen receptor-mediated signaling pathway","3/21","205/18870",0.00145455515813177,0.0376366147166597,0.0262202706136912,"FCRL3/MS4A1/BLK",3
"BP","GO:0002757","immune response-activating signaling pathway","4/21","473/18870",0.00166230263730075,0.0402945616798686,0.0280719804227917,"FCRL3/AIM2/MS4A1/BLK",4
"BP","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","2/21","56/18870",0.00175193746434211,0.0402945616798686,0.0280719804227917,"XCR1/CNR2",2
"BP","GO:0001819","positive regulation of cytokine production","4/21","499/18870",0.00202192741340251,0.0421608316215834,0.0293721532273426,"TIGIT/LY9/AIM2/POU2AF1",4
"BP","GO:0002764","immune response-regulating signaling pathway","4/21","500/18870",0.00203675515080113,0.0421608316215834,0.0293721532273426,"FCRL3/AIM2/MS4A1/BLK",4
"BP","GO:0030888","regulation of B cell proliferation","2/21","65/18870",0.00235203173375993,0.0463686256084101,0.0323035937368532,"FCRL3/TNFRSF13B",2
"CC","GO:0009897","external side of plasma membrane","4/19","387/19886",0.000434193535818271,0.00911806425218369,0.00594159575330266,"LY9/TNFRSF9/XCR1/MS4A1",4
"CC","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","2/19","71/19886",0.00206639986776224,0.0216971986115035,0.0141385254110048,"BLK/CNR2",2
"CC","GO:0019897","extrinsic component of plasma membrane","2/19","126/19886",0.0063469524103672,0.0444286668725704,0.0289510109946574,"BLK/CNR2",2
