"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045109","intermediate filament organization","10/40","73/18870",3.05479516454782e-16,1.13638380121179e-13,1.01933691280175e-13,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT23/KRT15/KRT86/KRT7",10
"BP","GO:0045104","intermediate filament cytoskeleton organization","10/40","94/18870",4.31180421926369e-15,5.96698572484127e-13,5.35238957208456e-13,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT23/KRT15/KRT86/KRT7",10
"BP","GO:0045103","intermediate filament-based process","10/40","95/18870",4.81208526196876e-15,5.96698572484127e-13,5.35238957208456e-13,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT23/KRT15/KRT86/KRT7",10
"BP","GO:0031424","keratinization","8/40","83/18870",6.80308789401424e-12,6.32687174143325e-10,5.6752075326382e-10,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT86/KRT7",8
"BP","GO:0030216","keratinocyte differentiation","8/40","177/18870",3.04426590516664e-09,2.26493383344398e-07,2.03164693039542e-07,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT86/KRT7",8
"BP","GO:0008544","epidermis development","10/40","385/18870",5.46612894756866e-09,3.38899994749257e-07,3.03993487084081e-07,"KRT5/KRT83/KRT81/KLK7/KRT16/KRT17/KRT6B/KRT15/KRT86/KRT7",10
"BP","GO:0043588","skin development","9/40","317/18870",1.64623464175829e-08,8.74856123905836e-07,7.84746438251698e-07,"KRT5/KRT83/KRT81/KRT16/GJB3/KRT17/KRT6B/KRT86/KRT7",9
"BP","GO:0009913","epidermal cell differentiation","8/40","245/18870",3.87031242665476e-08,1.79969527839447e-06,1.61432768322311e-06,"KRT5/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT86/KRT7",8
"BP","GO:0032429","regulation of phospholipase A2 activity","2/40","10/18870",0.000195052001174756,0.00806214938188993,0.00723175255817518,"ANXA8L1/ANXA8",2
"BP","GO:0060192","negative regulation of lipase activity","2/40","17/18870",0.000583980138295629,0.0217240611445974,0.0194864951410226,"ANXA8L1/ANXA8",2
"CC","GO:0045095","keratin filament","9/42","97/19886",4.17546224763714e-13,1.43916429859513e-11,1.19444810207288e-11,"KRT5/KRT87P/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT86/KRT7",9
"CC","GO:0005882","intermediate filament","11/42","214/19886",5.53524730228894e-13,1.43916429859513e-11,1.19444810207288e-11,"KRT5/KRT87P/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT23/KRT15/KRT86/KRT7",11
"CC","GO:0045111","intermediate filament cytoskeleton","11/42","250/19886",3.01963322936265e-12,5.23403093089527e-11,4.3440337685568e-11,"KRT5/KRT87P/KRT83/KRT81/KRT16/KRT17/KRT6B/KRT23/KRT15/KRT86/KRT7",11
"CC","GO:0001533","cornified envelope","6/42","60/19886",2.81364808823582e-09,3.65774251470656e-08,3.03577820046496e-08,"DSG3/KLK7/KRT16/KLK6/KRT17/SERPINB5",6
"CC","GO:0042383","sarcolemma","3/42","141/19886",0.00327234529855129,0.0340323911049334,0.0282455067874953,"ANXA8L1/ANXA8/STAC2",3
"MF","GO:0030280","structural constituent of skin epidermis","6/41","36/18496",1.50128681771235e-10,1.66642836766071e-08,1.26424153070514e-08,"KRT5/KRT83/KRT81/KRT6B/KRT86/KRT7",6
"MF","GO:0005200","structural constituent of cytoskeleton","4/41","112/18496",0.000108548634307628,0.00602444920407338,0.00457046881295278,"KRT5/KRT16/KRT6B/KRT15",4
"MF","GO:0004252","serine-type endopeptidase activity","4/41","174/18496",0.000583974147100145,0.0202320218813884,0.0153490919915701,"KLK7/KLK8/KLK6/TMPRSS13",4
"MF","GO:0008236","serine-type peptidase activity","4/41","192/18496",0.000844026860676855,0.0202320218813884,0.0153490919915701,"KLK7/KLK8/KLK6/TMPRSS13",4
"MF","GO:0017171","serine hydrolase activity","4/41","196/18496",0.000911352336999476,0.0202320218813884,0.0153490919915701,"KLK7/KLK8/KLK6/TMPRSS13",4
